implementation,algorithm,lines,characters,tokens,gzip_size
noarr,correlation,31,1393,468,401
baseline,correlation,29,916,365,302
noarr,covariance,13,764,261,268
baseline,covariance,17,513,209,213
noarr,gemm,4,226,87,153
baseline,gemm,8,219,93,131
noarr,gemver,10,501,203,201
baseline,gemver,12,383,193,146
noarr,gesummv,10,331,120,183
baseline,gesummv,9,251,116,143
noarr,symm,14,609,194,283
baseline,symm,9,299,132,160
noarr,syr2k,9,495,171,227
baseline,syr2k,8,241,111,142
noarr,syrk,9,443,155,213
baseline,syrk,8,209,93,130
noarr,trmm,10,403,132,228
baseline,trmm,6,185,86,125
noarr,2mm,20,671,222,262
baseline,2mm,13,373,156,177
noarr,3mm,30,828,280,232
baseline,3mm,19,553,235,184
noarr,atax,6,321,129,173
baseline,atax,9,250,118,134
noarr,bicg,13,401,140,218
baseline,bicg,9,218,107,135
noarr,doitgen,19,688,195,220
baseline,doitgen,10,317,120,162
noarr,mvt,2,222,89,135
baseline,mvt,6,204,99,107
noarr,cholesky,15,780,267,268
baseline,cholesky,12,289,144,151
noarr,durbin,22,964,334,361
baseline,durbin,18,412,174,210
noarr,gramschmidt,14,776,274,303
baseline,gramschmidt,15,467,216,190
noarr,ludcmp,35,1694,596,350
baseline,ludcmp,28,619,286,209
noarr,lu,14,737,251,244
baseline,lu,13,308,140,131
noarr,trisolv,8,358,134,201
baseline,trisolv,6,136,75,106
noarr,deriche,59,2126,742,556
baseline,deriche,64,1947,702,469
noarr,floyd-warshall,3,202,67,146
baseline,floyd-warshall,5,202,98,113
noarr,nussinov,22,1457,435,374
baseline,nussinov,17,666,263,221
noarr,adi,48,2505,874,522
baseline,adi,46,1581,644,423
noarr,fdtd-2d,18,996,350,330
baseline,fdtd-2d,14,580,265,216
noarr,heat-3d,16,1016,354,276
baseline,heat-3d,22,1124,456,235
noarr,jacobi-1d,8,469,172,206
baseline,jacobi-1d,6,219,102,128
noarr,jacobi-2d,12,664,224,240
baseline,jacobi-2d,8,403,202,166
noarr,seidel-2d,9,563,204,221
baseline,seidel-2d,6,340,157,160
