name,implementation,time
heat-3d,noarr,5.895051
heat-3d,baseline,5.687542
heat-3d,noarr,5.575491
heat-3d,baseline,5.729786
heat-3d,noarr,5.195266
heat-3d,baseline,5.199603
heat-3d,noarr,5.781036
heat-3d,baseline,5.420417
heat-3d,noarr,5.617205
heat-3d,baseline,6.391010
heat-3d,noarr,5.658807
heat-3d,baseline,5.105760
heat-3d,noarr,5.365672
heat-3d,baseline,5.548749
heat-3d,noarr,5.964079
heat-3d,baseline,6.251134
heat-3d,noarr,5.685577
heat-3d,baseline,5.069262
heat-3d,noarr,5.777438
heat-3d,baseline,6.104100
2mm,noarr,0.419482
2mm,baseline,0.464309
2mm,noarr,0.427858
2mm,baseline,0.459307
2mm,noarr,0.414588
2mm,baseline,0.458576
2mm,noarr,0.424799
2mm,baseline,0.455310
2mm,noarr,0.418224
2mm,baseline,0.462129
2mm,noarr,0.424375
2mm,baseline,0.463148
2mm,noarr,0.429097
2mm,baseline,0.458501
2mm,noarr,0.422664
2mm,baseline,0.461939
2mm,noarr,0.421747
2mm,baseline,0.460497
2mm,noarr,0.421605
2mm,baseline,0.469711
covariance,noarr,0.461767
covariance,baseline,0.455556
covariance,noarr,0.449697
covariance,baseline,0.465030
covariance,noarr,0.456208
covariance,baseline,0.454850
covariance,noarr,0.450306
covariance,baseline,0.457020
covariance,noarr,0.454437
covariance,baseline,0.466444
covariance,noarr,0.449167
covariance,baseline,0.459248
covariance,noarr,0.454467
covariance,baseline,0.454794
covariance,noarr,0.454543
covariance,baseline,0.460781
covariance,noarr,0.452873
covariance,baseline,0.465739
covariance,noarr,0.448257
covariance,baseline,0.460984
syr2k,noarr,0.464992
syr2k,baseline,0.442182
syr2k,noarr,0.431530
syr2k,baseline,0.469650
syr2k,noarr,0.455586
syr2k,baseline,0.455390
syr2k,noarr,0.467453
syr2k,baseline,0.481977
syr2k,noarr,0.456971
syr2k,baseline,0.480612
syr2k,noarr,0.447842
syr2k,baseline,0.458022
syr2k,noarr,0.461388
syr2k,baseline,0.470872
syr2k,noarr,0.444232
syr2k,baseline,0.468971
syr2k,noarr,0.472904
syr2k,baseline,0.481580
syr2k,noarr,0.458828
syr2k,baseline,0.461777
