name,implementation,time
floyd-warshall,noarr,140.987339
floyd-warshall,baseline,148.716263
floyd-warshall,noarr,141.134321
floyd-warshall,baseline,148.428121
floyd-warshall,noarr,140.704440
floyd-warshall,baseline,148.749294
floyd-warshall,noarr,141.290257
floyd-warshall,baseline,148.608757
floyd-warshall,noarr,140.834609
floyd-warshall,baseline,148.823736
floyd-warshall,noarr,141.368614
floyd-warshall,baseline,148.506705
floyd-warshall,noarr,140.677164
floyd-warshall,baseline,148.801440
floyd-warshall,noarr,141.077833
floyd-warshall,baseline,148.483191
floyd-warshall,noarr,140.868847
floyd-warshall,baseline,148.560141
floyd-warshall,noarr,141.028027
floyd-warshall,baseline,148.670411
mvt,noarr,0.052627
mvt,baseline,0.052541
mvt,noarr,0.052722
mvt,baseline,0.052752
mvt,noarr,0.052568
mvt,baseline,0.052526
mvt,noarr,0.052668
mvt,baseline,0.052800
mvt,noarr,0.052612
mvt,baseline,0.052606
mvt,noarr,0.052686
mvt,baseline,0.052807
mvt,noarr,0.052618
mvt,baseline,0.052668
mvt,noarr,0.052714
mvt,baseline,0.052762
mvt,noarr,0.052574
mvt,baseline,0.052706
mvt,noarr,0.052787
mvt,baseline,0.052620
ludcmp,noarr,36.662599
ludcmp,baseline,36.150417
ludcmp,noarr,36.678045
ludcmp,baseline,36.649771
ludcmp,noarr,36.440908
ludcmp,baseline,36.350735
ludcmp,noarr,36.666821
ludcmp,baseline,36.665417
ludcmp,noarr,36.443040
ludcmp,baseline,36.373624
ludcmp,noarr,36.703621
ludcmp,baseline,36.671049
ludcmp,noarr,36.420148
ludcmp,baseline,36.391912
ludcmp,noarr,36.699132
ludcmp,baseline,36.633194
ludcmp,noarr,36.655269
ludcmp,baseline,36.395030
ludcmp,noarr,36.515199
ludcmp,baseline,36.631130
cholesky,noarr,15.503736
cholesky,baseline,15.483323
cholesky,noarr,15.509522
cholesky,baseline,15.461670
cholesky,noarr,15.494099
cholesky,baseline,15.483201
cholesky,noarr,15.512242
cholesky,baseline,15.465080
cholesky,noarr,15.496688
cholesky,baseline,15.482222
cholesky,noarr,15.513665
cholesky,baseline,15.463395
cholesky,noarr,15.493612
cholesky,baseline,15.477561
cholesky,noarr,15.510228
cholesky,baseline,15.469592
cholesky,noarr,15.496040
cholesky,baseline,15.472989
cholesky,noarr,15.512674
cholesky,baseline,15.470165
adi,noarr,102.117205
adi,baseline,94.315928
adi,noarr,103.441070
adi,baseline,94.246388
adi,noarr,104.130510
adi,baseline,94.279473
adi,noarr,101.308179
adi,baseline,94.430453
adi,noarr,104.002559
adi,baseline,94.223844
adi,noarr,101.654234
adi,baseline,94.467564
adi,noarr,104.139593
adi,baseline,94.169811
adi,noarr,105.607057
adi,baseline,94.449902
adi,noarr,104.073157
adi,baseline,94.363740
adi,noarr,102.503286
adi,baseline,94.404034
atax,noarr,0.006600
atax,baseline,0.006473
atax,noarr,0.006476
atax,baseline,0.006487
atax,noarr,0.006578
atax,baseline,0.006480
atax,noarr,0.006592
