name,implementation,time
2mm,noarr,0.135271
2mm,baseline,0.143021
2mm,noarr,0.142596
2mm,baseline,0.140578
2mm,noarr,0.138623
2mm,baseline,0.139840
2mm,noarr,0.138150
2mm,baseline,0.142540
2mm,noarr,0.138475
2mm,baseline,0.141866
2mm,noarr,0.144012
2mm,baseline,0.144263
2mm,noarr,0.132929
2mm,baseline,0.144374
2mm,noarr,0.133959
2mm,baseline,0.142265
2mm,noarr,0.142578
2mm,baseline,0.137314
2mm,noarr,0.139476
2mm,baseline,0.143198
heat-3d,noarr,0.563585
heat-3d,baseline,0.562134
heat-3d,noarr,0.563704
heat-3d,baseline,0.560155
heat-3d,noarr,0.562016
heat-3d,baseline,0.559467
heat-3d,noarr,0.561616
heat-3d,baseline,0.560476
heat-3d,noarr,0.561887
heat-3d,baseline,0.560031
heat-3d,noarr,0.562837
heat-3d,baseline,0.559801
heat-3d,noarr,0.558431
heat-3d,baseline,0.560189
heat-3d,noarr,0.561200
heat-3d,baseline,0.560942
heat-3d,noarr,0.561362
heat-3d,baseline,0.558562
heat-3d,noarr,0.561543
heat-3d,baseline,0.561964
covariance,noarr,0.050670
covariance,baseline,0.052814
covariance,noarr,0.047484
covariance,baseline,0.052583
covariance,noarr,0.048977
covariance,baseline,0.052826
covariance,noarr,0.053024
covariance,baseline,0.052189
covariance,noarr,0.047904
covariance,baseline,0.049267
covariance,noarr,0.050028
covariance,baseline,0.049875
covariance,noarr,0.053995
covariance,baseline,0.052528
covariance,noarr,0.051151
covariance,baseline,0.051150
covariance,noarr,0.053383
covariance,baseline,0.053078
covariance,noarr,0.050180
covariance,baseline,0.053034
syr2k,noarr,0.040080
syr2k,baseline,0.036814
syr2k,noarr,0.038698
syr2k,baseline,0.036096
syr2k,noarr,0.040538
syr2k,baseline,0.034776
syr2k,noarr,0.038317
syr2k,baseline,0.036813
syr2k,noarr,0.040085
syr2k,baseline,0.035955
syr2k,noarr,0.040556
syr2k,baseline,0.035467
syr2k,noarr,0.038351
syr2k,baseline,0.042764
syr2k,noarr,0.037314
syr2k,baseline,0.036224
syr2k,noarr,0.040620
syr2k,baseline,0.041832
syr2k,noarr,0.041644
syr2k,baseline,0.038443
