name,implementation,time
floyd-warshall,noarr,16.062031
floyd-warshall,baseline,16.070010
floyd-warshall,noarr,16.077091
floyd-warshall,baseline,16.071855
floyd-warshall,noarr,16.051482
floyd-warshall,baseline,16.035610
floyd-warshall,noarr,16.071027
floyd-warshall,baseline,16.065353
floyd-warshall,noarr,16.076567
floyd-warshall,baseline,16.073426
floyd-warshall,noarr,16.067546
floyd-warshall,baseline,16.073351
floyd-warshall,noarr,16.082580
floyd-warshall,baseline,16.070421
floyd-warshall,noarr,16.066015
floyd-warshall,baseline,16.070309
floyd-warshall,noarr,16.079161
floyd-warshall,baseline,16.064633
floyd-warshall,noarr,16.060783
floyd-warshall,baseline,16.065542
gemm,noarr,0.268643
gemm,baseline,0.261128
gemm,noarr,0.269151
gemm,baseline,0.260355
gemm,noarr,0.269238
gemm,baseline,0.260907
gemm,noarr,0.268580
gemm,baseline,0.260777
gemm,noarr,0.269496
gemm,baseline,0.260235
gemm,noarr,0.268768
gemm,baseline,0.260389
gemm,noarr,0.268620
gemm,baseline,0.260338
gemm,noarr,0.268986
gemm,baseline,0.260251
gemm,noarr,0.267987
gemm,baseline,0.260582
gemm,noarr,0.268938
gemm,baseline,0.260017
2mm,noarr,2.382931
2mm,baseline,2.372763
2mm,noarr,2.379294
2mm,baseline,2.373386
2mm,noarr,2.379308
2mm,baseline,2.369475
2mm,noarr,2.378766
2mm,baseline,2.369756
2mm,noarr,2.378541
2mm,baseline,2.369250
2mm,noarr,2.379417
2mm,baseline,2.369688
2mm,noarr,2.379316
2mm,baseline,2.369079
2mm,noarr,2.382395
2mm,baseline,2.369818
2mm,noarr,2.382795
2mm,baseline,2.372345
2mm,noarr,2.382057
2mm,baseline,2.372982
covariance,noarr,0.242750
covariance,baseline,0.242310
covariance,noarr,0.241542
covariance,baseline,0.241042
covariance,noarr,0.242209
covariance,baseline,0.242649
covariance,noarr,0.241515
covariance,baseline,0.242499
covariance,noarr,0.242236
covariance,baseline,0.242521
covariance,noarr,0.241471
covariance,baseline,0.242221
covariance,noarr,0.242281
covariance,baseline,0.242512
covariance,noarr,0.242544
covariance,baseline,0.242247
covariance,noarr,0.242770
covariance,baseline,0.241904
covariance,noarr,0.242601
covariance,baseline,0.242655
