name,implementation,time
floyd-warshall,noarr,16.221340
floyd-warshall,baseline,17.354248
floyd-warshall,noarr,16.235031
floyd-warshall,baseline,17.420675
floyd-warshall,noarr,16.263939
floyd-warshall,baseline,17.355375
floyd-warshall,noarr,16.234087
floyd-warshall,baseline,17.391564
floyd-warshall,noarr,16.241999
floyd-warshall,baseline,17.376460
floyd-warshall,noarr,16.234242
floyd-warshall,baseline,17.421999
floyd-warshall,noarr,16.244448
floyd-warshall,baseline,17.335170
floyd-warshall,noarr,16.200056
floyd-warshall,baseline,17.387321
floyd-warshall,noarr,16.261537
floyd-warshall,baseline,17.367121
floyd-warshall,noarr,16.228883
floyd-warshall,baseline,17.387148
mvt,noarr,0.011815
mvt,baseline,0.011794
mvt,noarr,0.011772
mvt,baseline,0.011775
mvt,noarr,0.011795
mvt,baseline,0.011767
mvt,noarr,0.011765
mvt,baseline,0.011765
mvt,noarr,0.011775
mvt,baseline,0.011747
mvt,noarr,0.011759
mvt,baseline,0.011750
mvt,noarr,0.011756
mvt,baseline,0.011754
mvt,noarr,0.011739
mvt,baseline,0.011751
mvt,noarr,0.011739
mvt,baseline,0.011754
mvt,noarr,0.011736
mvt,baseline,0.011737
ludcmp,noarr,3.992798
ludcmp,baseline,3.990193
ludcmp,noarr,3.993272
ludcmp,baseline,3.990484
ludcmp,noarr,3.993223
ludcmp,baseline,3.989599
ludcmp,noarr,3.992545
ludcmp,baseline,3.990162
ludcmp,noarr,3.992292
ludcmp,baseline,3.989902
ludcmp,noarr,3.992960
ludcmp,baseline,3.990063
ludcmp,noarr,3.992463
ludcmp,baseline,3.990820
ludcmp,noarr,3.993410
ludcmp,baseline,3.989991
ludcmp,noarr,3.993056
ludcmp,baseline,3.990500
ludcmp,noarr,3.993465
ludcmp,baseline,3.989087
cholesky,noarr,1.909995
cholesky,baseline,1.904655
cholesky,noarr,1.911918
cholesky,baseline,1.903601
cholesky,noarr,1.911004
cholesky,baseline,1.904631
cholesky,noarr,1.913452
cholesky,baseline,1.903532
cholesky,noarr,1.910345
cholesky,baseline,1.904688
cholesky,noarr,1.913344
cholesky,baseline,1.903330
cholesky,noarr,1.909989
cholesky,baseline,1.904647
cholesky,noarr,1.914002
cholesky,baseline,1.903608
cholesky,noarr,1.909939
cholesky,baseline,1.904523
cholesky,noarr,1.912445
cholesky,baseline,1.903428
adi,noarr,12.644199
adi,baseline,11.533232
adi,noarr,12.615861
adi,baseline,11.507201
adi,noarr,12.617714
adi,baseline,11.513055
adi,noarr,12.612936
adi,baseline,11.501105
adi,noarr,12.400313
adi,baseline,11.497225
adi,noarr,12.594387
adi,baseline,11.498938
adi,noarr,12.612272
adi,baseline,11.499713
adi,noarr,12.575517
adi,baseline,11.509883
adi,noarr,12.416138
adi,baseline,11.506560
adi,noarr,12.585871
adi,baseline,11.521637
atax,noarr,0.006493
atax,baseline,0.006526
atax,noarr,0.006625
atax,baseline,0.006558
atax,noarr,0.006498
atax,baseline,0.006519
atax,noarr,0.006610
atax,baseline,0.006527
atax,noarr,0.006628
atax,baseline,0.006506
atax,noarr,0.006519
atax,baseline,0.006530
atax,noarr,0.006622
atax,baseline,0.006520
atax,noarr,0.006631
atax,baseline,0.006517
atax,noarr,0.006493
atax,baseline,0.006521
atax,noarr,0.006499
atax,baseline,0.006515
3mm,noarr,3.908260
3mm,baseline,3.902068
3mm,noarr,3.923801
3mm,baseline,3.911833
3mm,noarr,3.935173
3mm,baseline,3.898293
3mm,noarr,3.870094
3mm,baseline,3.906982
3mm,noarr,3.923798
3mm,baseline,3.913015
3mm,noarr,3.875106
