name,implementation,time
2mm,noarr,0.003819
2mm,baseline,0.006055
2mm,noarr,0.003308
2mm,baseline,0.013043
2mm,noarr,0.003439
2mm,baseline,0.005606
2mm,noarr,0.003490
2mm,baseline,0.004163
2mm,noarr,0.003633
2mm,baseline,0.005081
2mm,noarr,0.003339
2mm,baseline,0.006147
2mm,noarr,0.003512
2mm,baseline,0.005274
2mm,noarr,0.004777
2mm,baseline,0.005622
2mm,noarr,0.007225
2mm,baseline,0.005465
2mm,noarr,0.003240
2mm,baseline,0.005438
heat-3d,noarr,0.012885
heat-3d,baseline,0.011732
heat-3d,noarr,0.019653
heat-3d,baseline,0.012906
heat-3d,noarr,0.008182
heat-3d,baseline,0.014876
heat-3d,noarr,0.011516
heat-3d,baseline,0.008873
heat-3d,noarr,0.009040
heat-3d,baseline,0.006678
heat-3d,noarr,0.011835
heat-3d,baseline,0.007743
heat-3d,noarr,0.019768
heat-3d,baseline,0.011899
heat-3d,noarr,0.014389
heat-3d,baseline,0.009941
heat-3d,noarr,0.012185
heat-3d,baseline,0.011924
heat-3d,noarr,0.010995
heat-3d,baseline,0.011684
covariance,noarr,0.003034
covariance,baseline,0.003409
covariance,noarr,0.002992
covariance,baseline,0.003504
covariance,noarr,0.002903
covariance,baseline,0.003471
covariance,noarr,0.003258
covariance,baseline,0.003091
covariance,noarr,0.002934
covariance,baseline,0.003166
covariance,noarr,0.003263
covariance,baseline,0.003015
covariance,noarr,0.002957
covariance,baseline,0.003684
covariance,noarr,0.003330
covariance,baseline,0.003819
covariance,noarr,0.002921
covariance,baseline,0.004288
covariance,noarr,0.003018
covariance,baseline,0.004134
syr2k,noarr,0.003230
syr2k,baseline,0.002844
syr2k,noarr,0.002839
syr2k,baseline,0.002494
syr2k,noarr,0.002587
syr2k,baseline,0.002313
syr2k,noarr,0.003401
syr2k,baseline,0.002606
syr2k,noarr,0.002665
syr2k,baseline,0.002415
syr2k,noarr,0.002782
syr2k,baseline,0.003051
syr2k,noarr,0.002730
syr2k,baseline,0.002600
syr2k,noarr,0.002940
syr2k,baseline,0.002464
syr2k,noarr,0.002997
syr2k,baseline,0.002708
syr2k,noarr,0.002838
syr2k,baseline,0.002351
