name,implementation,time
floyd-warshall,noarr,0.093443
floyd-warshall,baseline,0.093258
floyd-warshall,noarr,0.093405
floyd-warshall,baseline,0.093248
floyd-warshall,noarr,0.093194
floyd-warshall,baseline,0.093255
floyd-warshall,noarr,0.093394
floyd-warshall,baseline,0.093082
floyd-warshall,noarr,0.093312
floyd-warshall,baseline,0.093287
floyd-warshall,noarr,0.093380
floyd-warshall,baseline,0.093267
floyd-warshall,noarr,0.093386
floyd-warshall,baseline,0.093265
floyd-warshall,noarr,0.093351
floyd-warshall,baseline,0.093211
floyd-warshall,noarr,0.093382
floyd-warshall,baseline,0.093150
floyd-warshall,noarr,0.093378
floyd-warshall,baseline,0.093095
gemm,noarr,0.001982
gemm,baseline,0.002037
gemm,noarr,0.001977
gemm,baseline,0.002033
gemm,noarr,0.001979
gemm,baseline,0.002034
gemm,noarr,0.001978
gemm,baseline,0.002045
gemm,noarr,0.001968
gemm,baseline,0.002043
gemm,noarr,0.002107
gemm,baseline,0.002041
gemm,noarr,0.001977
gemm,baseline,0.002033
gemm,noarr,0.001974
gemm,baseline,0.002025
gemm,noarr,0.001975
gemm,baseline,0.002036
gemm,noarr,0.001977
gemm,baseline,0.002026
2mm,noarr,0.020394
2mm,baseline,0.020241
2mm,noarr,0.020112
2mm,baseline,0.020245
2mm,noarr,0.020316
2mm,baseline,0.020244
2mm,noarr,0.020269
2mm,baseline,0.020219
2mm,noarr,0.020324
2mm,baseline,0.020228
2mm,noarr,0.020269
2mm,baseline,0.020178
2mm,noarr,0.020349
2mm,baseline,0.020259
2mm,noarr,0.020250
2mm,baseline,0.020239
2mm,noarr,0.020358
2mm,baseline,0.020197
2mm,noarr,0.020254
2mm,baseline,0.020242
covariance,noarr,0.002140
covariance,baseline,0.002203
covariance,noarr,0.002004
covariance,baseline,0.002196
covariance,noarr,0.002130
covariance,baseline,0.002198
covariance,noarr,0.002123
covariance,baseline,0.002184
covariance,noarr,0.002133
covariance,baseline,0.002182
covariance,noarr,0.002130
covariance,baseline,0.002174
covariance,noarr,0.002127
covariance,baseline,0.002168
covariance,noarr,0.002142
covariance,baseline,0.002176
covariance,noarr,0.002129
covariance,baseline,0.002203
covariance,noarr,0.002125
covariance,baseline,0.002179
