name,implementation,time
floyd-warshall,noarr,130.116372
floyd-warshall,baseline,130.163610
floyd-warshall,noarr,130.116513
floyd-warshall,baseline,130.153411
floyd-warshall,noarr,130.124636
floyd-warshall,baseline,130.205498
floyd-warshall,noarr,130.157360
floyd-warshall,baseline,130.184185
floyd-warshall,noarr,130.118254
floyd-warshall,baseline,130.194603
floyd-warshall,noarr,130.186935
floyd-warshall,baseline,130.172653
floyd-warshall,noarr,130.134856
floyd-warshall,baseline,130.160303
floyd-warshall,noarr,130.166093
floyd-warshall,baseline,130.192035
floyd-warshall,noarr,130.154114
floyd-warshall,baseline,130.186033
floyd-warshall,noarr,130.121838
floyd-warshall,baseline,130.191045
gemm,noarr,2.339817
gemm,baseline,2.304072
gemm,noarr,2.341005
gemm,baseline,2.306540
gemm,noarr,2.337667
gemm,baseline,2.308547
gemm,noarr,2.339568
gemm,baseline,2.306901
gemm,noarr,2.338042
gemm,baseline,2.308262
gemm,noarr,2.340206
gemm,baseline,2.307850
gemm,noarr,2.338672
gemm,baseline,2.308566
gemm,noarr,2.340608
gemm,baseline,2.306170
gemm,noarr,2.338269
gemm,baseline,2.308231
gemm,noarr,2.339390
gemm,baseline,2.306959
2mm,noarr,19.074337
2mm,baseline,19.079518
2mm,noarr,19.064846
2mm,baseline,19.079973
2mm,noarr,19.076261
2mm,baseline,19.080224
2mm,noarr,19.062482
2mm,baseline,19.078025
2mm,noarr,19.070791
2mm,baseline,19.082304
2mm,noarr,19.068798
2mm,baseline,19.078610
2mm,noarr,19.078457
2mm,baseline,19.082581
2mm,noarr,19.080355
2mm,baseline,19.077690
2mm,noarr,19.080609
2mm,baseline,19.087235
2mm,noarr,19.084796
2mm,baseline,19.082852
covariance,noarr,2.515412
covariance,baseline,2.525793
covariance,noarr,2.518948
covariance,baseline,2.530967
covariance,noarr,2.514967
covariance,baseline,2.528651
covariance,noarr,2.511494
covariance,baseline,2.529389
covariance,noarr,2.521430
covariance,baseline,2.531341
covariance,noarr,2.512404
covariance,baseline,2.524079
covariance,noarr,2.516920
covariance,baseline,2.531823
covariance,noarr,2.511541
covariance,baseline,2.524337
covariance,noarr,2.515565
covariance,baseline,2.532733
covariance,noarr,2.511202
covariance,baseline,2.526456
