name,implementation,time
2DConvolution,noarr,0.020904
2DConvolution,baseline,0.020613
2DConvolution,noarr,0.019727
2DConvolution,baseline,0.020843
2DConvolution,noarr,0.020793
2DConvolution,baseline,0.020008
2DConvolution,noarr,0.020570
2DConvolution,baseline,0.020534
2DConvolution,noarr,0.020407
2DConvolution,baseline,0.020300
2DConvolution,noarr,0.020541
2DConvolution,baseline,0.020188
2DConvolution,noarr,0.020731
2DConvolution,baseline,0.020656
2DConvolution,noarr,0.019912
2DConvolution,baseline,0.020318
2DConvolution,noarr,0.020255
2DConvolution,baseline,0.020636
2DConvolution,noarr,0.019734
2DConvolution,baseline,0.020295
gemm,noarr,0.311469
gemm,baseline,0.310771
gemm,noarr,0.310233
gemm,baseline,0.311204
gemm,noarr,0.310768
gemm,baseline,0.311014
gemm,noarr,0.311231
gemm,baseline,0.311229
gemm,noarr,0.311100
gemm,baseline,0.310764
gemm,noarr,0.310060
gemm,baseline,0.312035
gemm,noarr,0.310443
gemm,baseline,0.310825
gemm,noarr,0.310884
gemm,baseline,0.311522
gemm,noarr,0.310927
gemm,baseline,0.311442
gemm,noarr,0.310529
gemm,baseline,0.311586
gramschmidt,noarr,1.314451
gramschmidt,baseline,1.495134
gramschmidt,noarr,1.313378
gramschmidt,baseline,1.495787
gramschmidt,noarr,1.314209
gramschmidt,baseline,1.495051
gramschmidt,noarr,1.312932
gramschmidt,baseline,1.495530
gramschmidt,noarr,1.314411
gramschmidt,baseline,1.494826
gramschmidt,noarr,1.313420
gramschmidt,baseline,1.495594
gramschmidt,noarr,1.314204
gramschmidt,baseline,1.494676
gramschmidt,noarr,1.313349
gramschmidt,baseline,1.495424
gramschmidt,noarr,1.314466
gramschmidt,baseline,1.494361
gramschmidt,noarr,1.313240
gramschmidt,baseline,1.495797
2mm,noarr,1.091066
2mm,baseline,1.138738
2mm,noarr,1.089510
2mm,baseline,1.139734
2mm,noarr,1.092281
2mm,baseline,1.140534
2mm,noarr,1.088449
2mm,baseline,1.140082
2mm,noarr,1.091021
2mm,baseline,1.137730
2mm,noarr,1.087806
2mm,baseline,1.140684
2mm,noarr,1.089971
2mm,baseline,1.139110
2mm,noarr,1.091654
2mm,baseline,1.140454
2mm,noarr,1.091917
2mm,baseline,1.137316
2mm,noarr,1.089432
2mm,baseline,1.139824
jacobi2d,noarr,0.208109
jacobi2d,baseline,0.208342
jacobi2d,noarr,0.207633
jacobi2d,baseline,0.208893
jacobi2d,noarr,0.208011
jacobi2d,baseline,0.208125
jacobi2d,noarr,0.207240
jacobi2d,baseline,0.209149
jacobi2d,noarr,0.208555
jacobi2d,baseline,0.207768
jacobi2d,noarr,0.206989
jacobi2d,baseline,0.209089
jacobi2d,noarr,0.207993
jacobi2d,baseline,0.207596
jacobi2d,noarr,0.207765
jacobi2d,baseline,0.208821
jacobi2d,noarr,0.207945
jacobi2d,baseline,0.207829
jacobi2d,noarr,0.207083
jacobi2d,baseline,0.209038
