record_type,algorithm,order,value
compile_time,gesummv,0,7.765167
compile_time,gesummv,1,2.875157
compile_time,gesummv,2,2.403521
compile_time,gesummv,3,2.944984
compile_time,gesummv,4,2.869440
compile_time,gesummv,5,2.811777
compile_time,gesummv,6,2.689624
compile_time,gesummv,7,2.763882
compile_time,gesummv,8,2.791437
compile_time,gesummv,9,2.828296
run_time,gesummv,0,0.076743
run_time,gesummv,1,0.090813
run_time,gesummv,2,0.078770
run_time,gesummv,3,0.078950
run_time,gesummv,4,0.085112
run_time,gesummv,5,0.091168
run_time,gesummv,6,0.084429
run_time,gesummv,7,0.084159
run_time,gesummv,8,0.073593
run_time,gesummv,9,0.083518
compile_returncode,gesummv,0,0
compile_returncode,gesummv,1,0
compile_returncode,gesummv,2,0
compile_returncode,gesummv,3,0
compile_returncode,gesummv,4,0
compile_returncode,gesummv,5,0
compile_returncode,gesummv,6,0
compile_returncode,gesummv,7,0
compile_returncode,gesummv,8,0
compile_returncode,gesummv,9,0
run_returncode,gesummv,0,0
run_returncode,gesummv,1,0
run_returncode,gesummv,2,0
run_returncode,gesummv,3,0
run_returncode,gesummv,4,0
run_returncode,gesummv,5,0
run_returncode,gesummv,6,0
run_returncode,gesummv,7,0
run_returncode,gesummv,8,0
run_returncode,gesummv,9,0
compile_time,gemm,0,9.931651
compile_time,gemm,1,4.766422
compile_time,gemm,2,4.499827
compile_time,gemm,3,5.020235
compile_time,gemm,4,4.317761
compile_time,gemm,5,5.074587
compile_time,gemm,6,4.596524
compile_time,gemm,7,4.462036
compile_time,gemm,8,4.746934
compile_time,gemm,9,4.411381
run_time,gemm,0,20.714019
run_time,gemm,1,16.650870
run_time,gemm,2,18.390342
run_time,gemm,3,16.300489
run_time,gemm,4,18.005329
run_time,gemm,5,16.344697
run_time,gemm,6,16.872222
run_time,gemm,7,19.811573
run_time,gemm,8,16.660888
run_time,gemm,9,15.181065
compile_returncode,gemm,0,0
compile_returncode,gemm,1,0
compile_returncode,gemm,2,0
compile_returncode,gemm,3,0
compile_returncode,gemm,4,0
compile_returncode,gemm,5,0
compile_returncode,gemm,6,0
compile_returncode,gemm,7,0
compile_returncode,gemm,8,0
compile_returncode,gemm,9,0
run_returncode,gemm,0,0
run_returncode,gemm,1,0
run_returncode,gemm,2,0
run_returncode,gemm,3,0
run_returncode,gemm,4,0
run_returncode,gemm,5,0
run_returncode,gemm,6,0
run_returncode,gemm,7,0
run_returncode,gemm,8,0
run_returncode,gemm,9,0
compile_time,covariance,0,7.875866
compile_time,covariance,1,3.181862
compile_time,covariance,2,3.443338
compile_time,covariance,3,3.226114
compile_time,covariance,4,3.262426
compile_time,covariance,5,3.492722
compile_time,covariance,6,3.476586
compile_time,covariance,7,3.344359
compile_time,covariance,8,3.253755
compile_time,covariance,9,3.160109
run_time,covariance,0,23.050251
run_time,covariance,1,24.781902
run_time,covariance,2,24.869567
run_time,covariance,3,23.136383
run_time,covariance,4,23.018975
run_time,covariance,5,24.912146
run_time,covariance,6,23.049184
run_time,covariance,7,24.753282
run_time,covariance,8,24.764995
run_time,covariance,9,23.090568
compile_returncode,covariance,0,0
compile_returncode,covariance,1,0
compile_returncode,covariance,2,0
compile_returncode,covariance,3,0
compile_returncode,covariance,4,0
compile_returncode,covariance,5,0
compile_returncode,covariance,6,0
compile_returncode,covariance,7,0
compile_returncode,covariance,8,0
compile_returncode,covariance,9,0
run_returncode,covariance,0,0
run_returncode,covariance,1,0
run_returncode,covariance,2,0
run_returncode,covariance,3,0
run_returncode,covariance,4,0
run_returncode,covariance,5,0
run_returncode,covariance,6,0
run_returncode,covariance,7,0
run_returncode,covariance,8,0
run_returncode,covariance,9,0
compile_time,cholesky,0,22.144269
compile_time,cholesky,1,2.987281
compile_time,cholesky,2,6.630766
compile_time,cholesky,3,3.184368
compile_time,cholesky,4,3.270983
compile_time,cholesky,5,3.062968
compile_time,cholesky,6,3.512586
compile_time,cholesky,7,3.071586
compile_time,cholesky,8,3.673297
compile_time,cholesky,9,2.661299
run_time,cholesky,0,45.682885
run_time,cholesky,1,84.483803
run_time,cholesky,2,46.085155
run_time,cholesky,3,46.096946
run_time,cholesky,4,45.796260
run_time,cholesky,5,45.838363
run_time,cholesky,6,45.770049
run_time,cholesky,7,46.078828
run_time,cholesky,8,45.792967
run_time,cholesky,9,45.991845
compile_returncode,cholesky,0,0
compile_returncode,cholesky,1,0
compile_returncode,cholesky,2,0
compile_returncode,cholesky,3,0
compile_returncode,cholesky,4,0
compile_returncode,cholesky,5,0
compile_returncode,cholesky,6,0
