name,implementation,time
2mm,noarr,0.390223
2mm,baseline,0.443225
2mm,noarr,0.388005
2mm,baseline,0.441619
2mm,noarr,0.392924
2mm,baseline,0.442490
2mm,noarr,0.397084
2mm,baseline,0.440440
2mm,noarr,0.390771
2mm,baseline,0.443701
2mm,noarr,0.399981
2mm,baseline,0.442519
2mm,noarr,0.396599
2mm,baseline,0.442373
2mm,noarr,0.397922
2mm,baseline,0.446451
2mm,noarr,0.402169
2mm,baseline,0.447061
2mm,noarr,0.400283
2mm,baseline,0.442182
heat-3d,noarr,3.839920
heat-3d,baseline,2.825046
heat-3d,noarr,3.858172
heat-3d,baseline,4.378421
heat-3d,noarr,4.223347
heat-3d,baseline,7.037293
heat-3d,noarr,4.473602
heat-3d,baseline,3.234509
heat-3d,noarr,4.981854
heat-3d,baseline,3.801573
heat-3d,noarr,3.801838
heat-3d,baseline,4.442557
heat-3d,noarr,2.893878
heat-3d,baseline,3.703607
heat-3d,noarr,3.948901
heat-3d,baseline,3.906490
heat-3d,noarr,3.941832
heat-3d,baseline,4.356534
heat-3d,noarr,4.310717
heat-3d,baseline,3.953067
covariance,noarr,0.643461
covariance,baseline,0.693888
covariance,noarr,0.695944
covariance,baseline,0.700648
covariance,noarr,0.710438
covariance,baseline,0.686522
covariance,noarr,0.685042
covariance,baseline,0.699288
covariance,noarr,0.687018
covariance,baseline,0.700167
covariance,noarr,0.698647
covariance,baseline,0.703021
covariance,noarr,0.697463
covariance,baseline,0.685597
covariance,noarr,0.705650
covariance,baseline,0.693665
covariance,noarr,0.701822
covariance,baseline,0.688471
covariance,noarr,0.711898
covariance,baseline,0.700568
syr2k,noarr,0.683707
syr2k,baseline,0.681873
syr2k,noarr,0.697166
syr2k,baseline,0.646685
syr2k,noarr,0.588463
syr2k,baseline,0.692782
syr2k,noarr,0.565095
syr2k,baseline,0.570529
syr2k,noarr,0.614774
syr2k,baseline,0.634591
syr2k,noarr,0.643661
syr2k,baseline,0.610372
syr2k,noarr,0.564255
syr2k,baseline,0.635489
syr2k,noarr,0.577177
syr2k,baseline,0.649075
syr2k,noarr,0.625589
syr2k,baseline,0.645483
syr2k,noarr,0.652157
syr2k,baseline,0.643461
