name,implementation,time
2mm,noarr,19.075255
2mm,baseline,19.084010
2mm,noarr,19.072872
2mm,baseline,19.086056
2mm,noarr,19.079314
2mm,baseline,19.082167
2mm,noarr,19.074534
2mm,baseline,19.084125
2mm,noarr,19.076161
2mm,baseline,19.080593
2mm,noarr,19.077367
2mm,baseline,19.082603
2mm,noarr,19.075445
2mm,baseline,19.079672
2mm,noarr,19.072078
2mm,baseline,19.085055
2mm,noarr,19.075600
2mm,baseline,19.081061
2mm,noarr,19.073098
2mm,baseline,19.085645
gemm,noarr,2.370369
gemm,baseline,2.304167
gemm,noarr,2.367652
gemm,baseline,2.307147
gemm,noarr,2.368113
gemm,baseline,2.307222
gemm,noarr,2.365906
gemm,baseline,2.303833
gemm,noarr,2.369834
gemm,baseline,2.306715
gemm,noarr,2.368414
gemm,baseline,2.303696
gemm,noarr,2.369478
gemm,baseline,2.306424
gemm,noarr,2.367950
gemm,baseline,2.304167
gemm,noarr,2.371181
gemm,baseline,2.307828
gemm,noarr,2.367783
gemm,baseline,2.304255
floyd-warshall,noarr,130.283785
floyd-warshall,baseline,130.356007
floyd-warshall,noarr,130.400946
floyd-warshall,baseline,130.482695
floyd-warshall,noarr,130.456965
floyd-warshall,baseline,130.367899
floyd-warshall,noarr,130.473449
floyd-warshall,baseline,130.332704
floyd-warshall,noarr,130.321909
floyd-warshall,baseline,130.362532
floyd-warshall,noarr,130.473711
floyd-warshall,baseline,130.352553
floyd-warshall,noarr,130.320914
floyd-warshall,baseline,130.357876
floyd-warshall,noarr,130.431392
floyd-warshall,baseline,130.466965
floyd-warshall,noarr,130.325377
floyd-warshall,baseline,130.408038
floyd-warshall,noarr,130.416348
floyd-warshall,baseline,130.461212
covariance,noarr,2.526074
covariance,baseline,2.535069
covariance,noarr,2.529723
covariance,baseline,2.535346
covariance,noarr,2.536986
covariance,baseline,2.533788
covariance,noarr,2.532278
covariance,baseline,2.533257
covariance,noarr,2.538138
covariance,baseline,2.528285
covariance,noarr,2.532344
covariance,baseline,2.534568
covariance,noarr,2.536636
covariance,baseline,2.523511
covariance,noarr,2.531777
covariance,baseline,2.536403
covariance,noarr,2.537376
covariance,baseline,2.530800
covariance,noarr,2.531036
covariance,baseline,2.537929
