name,implementation,time
2mm,noarr,0.137133
2mm,baseline,0.143057
2mm,noarr,0.134731
2mm,baseline,0.139511
2mm,noarr,0.136940
2mm,baseline,0.139605
2mm,noarr,0.134357
2mm,baseline,0.139544
2mm,noarr,0.134561
2mm,baseline,0.139820
2mm,noarr,0.136684
2mm,baseline,0.139271
2mm,noarr,0.134919
2mm,baseline,0.139318
2mm,noarr,0.134876
2mm,baseline,0.139462
2mm,noarr,0.136774
2mm,baseline,0.139309
2mm,noarr,0.137061
2mm,baseline,0.139503
heat-3d,noarr,0.898820
heat-3d,baseline,0.863888
heat-3d,noarr,0.898782
heat-3d,baseline,0.895270
heat-3d,noarr,0.898891
heat-3d,baseline,0.895970
heat-3d,noarr,0.899819
heat-3d,baseline,0.895821
heat-3d,noarr,0.867284
heat-3d,baseline,0.895056
heat-3d,noarr,0.898793
heat-3d,baseline,0.895591
heat-3d,noarr,0.865659
heat-3d,baseline,0.895113
heat-3d,noarr,0.898137
heat-3d,baseline,0.830243
heat-3d,noarr,0.833933
heat-3d,baseline,0.901359
heat-3d,noarr,0.898475
heat-3d,baseline,0.895615
covariance,noarr,0.067515
covariance,baseline,0.066501
covariance,noarr,0.067183
covariance,baseline,0.066825
covariance,noarr,0.068995
covariance,baseline,0.066691
covariance,noarr,0.066937
covariance,baseline,0.066475
covariance,noarr,0.067423
covariance,baseline,0.066782
covariance,noarr,0.067090
covariance,baseline,0.066467
covariance,noarr,0.067581
covariance,baseline,0.066704
covariance,noarr,0.069027
covariance,baseline,0.066882
covariance,noarr,0.067100
covariance,baseline,0.066429
covariance,noarr,0.068611
covariance,baseline,0.066444
syr2k,noarr,0.047500
syr2k,baseline,0.044265
syr2k,noarr,0.047037
syr2k,baseline,0.043984
syr2k,noarr,0.046816
syr2k,baseline,0.043094
syr2k,noarr,0.051559
syr2k,baseline,0.044809
syr2k,noarr,0.046879
syr2k,baseline,0.042543
syr2k,noarr,0.047817
syr2k,baseline,0.040927
syr2k,noarr,0.047971
syr2k,baseline,0.044007
syr2k,noarr,0.045195
syr2k,baseline,0.043624
syr2k,noarr,0.048085
syr2k,baseline,0.041509
syr2k,noarr,0.043772
syr2k,baseline,0.043049
