name,implementation,time
2mm,noarr,0.136701
2mm,baseline,0.145678
2mm,noarr,0.141337
2mm,baseline,0.147400
2mm,noarr,0.141209
2mm,baseline,0.140836
2mm,noarr,0.140481
2mm,baseline,0.146645
2mm,noarr,0.142658
2mm,baseline,0.140492
2mm,noarr,0.134008
2mm,baseline,0.147906
2mm,noarr,0.141968
2mm,baseline,0.138988
2mm,noarr,0.135571
2mm,baseline,0.140438
2mm,noarr,0.142499
2mm,baseline,0.145266
2mm,noarr,0.135818
2mm,baseline,0.140537
heat-3d,noarr,0.564309
heat-3d,baseline,0.561487
heat-3d,noarr,0.563111
heat-3d,baseline,0.559805
heat-3d,noarr,0.564466
heat-3d,baseline,0.559435
heat-3d,noarr,0.571220
heat-3d,baseline,0.563046
heat-3d,noarr,0.564644
heat-3d,baseline,0.559565
heat-3d,noarr,0.561151
heat-3d,baseline,0.558151
heat-3d,noarr,0.566504
heat-3d,baseline,0.566321
heat-3d,noarr,0.561522
heat-3d,baseline,0.561311
heat-3d,noarr,0.564801
heat-3d,baseline,0.559799
heat-3d,noarr,0.561668
heat-3d,baseline,0.565786
covariance,noarr,0.048678
covariance,baseline,0.050173
covariance,noarr,0.049747
covariance,baseline,0.048758
covariance,noarr,0.048886
covariance,baseline,0.050080
covariance,noarr,0.051243
covariance,baseline,0.050396
covariance,noarr,0.049136
covariance,baseline,0.049495
covariance,noarr,0.049524
covariance,baseline,0.049444
covariance,noarr,0.048550
covariance,baseline,0.049745
covariance,noarr,0.050709
covariance,baseline,0.049503
covariance,noarr,0.050545
covariance,baseline,0.049493
covariance,noarr,0.051656
covariance,baseline,0.050640
syr2k,noarr,0.034697
syr2k,baseline,0.035213
syr2k,noarr,0.036602
syr2k,baseline,0.034720
syr2k,noarr,0.035443
syr2k,baseline,0.035664
syr2k,noarr,0.036567
syr2k,baseline,0.034404
syr2k,noarr,0.035620
syr2k,baseline,0.035752
syr2k,noarr,0.037487
syr2k,baseline,0.036419
syr2k,noarr,0.035404
syr2k,baseline,0.036076
syr2k,noarr,0.036666
syr2k,baseline,0.034630
syr2k,noarr,0.036061
syr2k,baseline,0.034533
syr2k,noarr,0.034508
syr2k,baseline,0.034825
