name,implementation,time
2mm,noarr,2.380369
2mm,baseline,2.373167
2mm,noarr,2.378603
2mm,baseline,2.373411
2mm,noarr,2.380498
2mm,baseline,2.370443
2mm,noarr,2.380361
2mm,baseline,2.374171
2mm,noarr,2.379651
2mm,baseline,2.373398
2mm,noarr,2.380964
2mm,baseline,2.373397
2mm,noarr,2.377365
2mm,baseline,2.372130
2mm,noarr,2.378686
2mm,baseline,2.372849
2mm,noarr,2.376976
2mm,baseline,2.371920
2mm,noarr,2.381687
2mm,baseline,2.373515
gemm,noarr,0.245083
gemm,baseline,0.260765
gemm,noarr,0.244543
gemm,baseline,0.260610
gemm,noarr,0.244870
gemm,baseline,0.260282
gemm,noarr,0.244453
gemm,baseline,0.260481
gemm,noarr,0.244929
gemm,baseline,0.260266
gemm,noarr,0.245450
gemm,baseline,0.260180
gemm,noarr,0.244064
gemm,baseline,0.260802
gemm,noarr,0.244907
gemm,baseline,0.260297
gemm,noarr,0.244614
gemm,baseline,0.260729
gemm,noarr,0.244416
gemm,baseline,0.260835
floyd-warshall,noarr,16.059462
floyd-warshall,baseline,16.062519
floyd-warshall,noarr,16.068760
floyd-warshall,baseline,16.073902
floyd-warshall,noarr,16.064235
floyd-warshall,baseline,16.062061
floyd-warshall,noarr,16.066238
floyd-warshall,baseline,16.070614
floyd-warshall,noarr,16.060654
floyd-warshall,baseline,16.079087
floyd-warshall,noarr,16.063847
floyd-warshall,baseline,16.067477
floyd-warshall,noarr,16.066382
floyd-warshall,baseline,16.063762
floyd-warshall,noarr,16.048844
floyd-warshall,baseline,16.054744
floyd-warshall,noarr,16.065999
floyd-warshall,baseline,16.073363
floyd-warshall,noarr,16.078875
floyd-warshall,baseline,16.076124
covariance,noarr,0.241737
covariance,baseline,0.242260
covariance,noarr,0.241022
covariance,baseline,0.242637
covariance,noarr,0.241478
covariance,baseline,0.241789
covariance,noarr,0.241513
covariance,baseline,0.242475
covariance,noarr,0.241609
covariance,baseline,0.242024
covariance,noarr,0.241104
covariance,baseline,0.242059
covariance,noarr,0.241417
covariance,baseline,0.242623
covariance,noarr,0.241505
covariance,baseline,0.242214
covariance,noarr,0.241964
covariance,baseline,0.242224
covariance,noarr,0.241258
covariance,baseline,0.242753
