name,implementation,time
trmm,noarr,0.878754
trmm,baseline,0.883233
trmm,noarr,0.879010
trmm,baseline,0.883352
trmm,noarr,0.877268
trmm,baseline,0.879533
trmm,noarr,0.878882
trmm,baseline,0.879613
trmm,noarr,0.878853
trmm,baseline,0.880072
trmm,noarr,0.878969
trmm,baseline,0.883176
trmm,noarr,0.876021
trmm,baseline,0.879546
trmm,noarr,0.882493
trmm,baseline,0.883589
trmm,noarr,0.877199
trmm,baseline,0.882966
trmm,noarr,0.880803
trmm,baseline,0.880964
2mm,noarr,2.455244
2mm,baseline,2.469879
2mm,noarr,2.470508
2mm,baseline,2.463096
2mm,noarr,2.471744
2mm,baseline,2.460291
2mm,noarr,2.451370
2mm,baseline,2.468721
2mm,noarr,2.471773
2mm,baseline,2.454134
2mm,noarr,2.433404
2mm,baseline,2.472133
2mm,noarr,2.476455
2mm,baseline,2.463348
2mm,noarr,2.455487
2mm,baseline,2.460721
2mm,noarr,2.461758
2mm,baseline,2.467410
2mm,noarr,2.452218
2mm,baseline,2.471890
heat-3d,noarr,1.608822
heat-3d,baseline,1.488346
heat-3d,noarr,1.597359
heat-3d,baseline,1.480629
heat-3d,noarr,1.600588
heat-3d,baseline,1.478738
heat-3d,noarr,1.595484
heat-3d,baseline,1.480276
heat-3d,noarr,1.598286
heat-3d,baseline,1.484718
heat-3d,noarr,1.596107
heat-3d,baseline,1.480881
heat-3d,noarr,1.604428
heat-3d,baseline,1.483980
heat-3d,noarr,1.595155
heat-3d,baseline,1.484482
heat-3d,noarr,1.603837
heat-3d,baseline,1.478314
heat-3d,noarr,1.602408
heat-3d,baseline,1.484530
gemm,noarr,0.269426
gemm,baseline,0.264587
gemm,noarr,0.264332
gemm,baseline,0.270344
gemm,noarr,0.268573
gemm,baseline,0.264660
gemm,noarr,0.263016
gemm,baseline,0.266853
gemm,noarr,0.270348
gemm,baseline,0.265665
gemm,noarr,0.264371
gemm,baseline,0.269496
gemm,noarr,0.263448
gemm,baseline,0.264111
gemm,noarr,0.264035
gemm,baseline,0.265876
gemm,noarr,0.269258
gemm,baseline,0.268552
gemm,noarr,0.266855
gemm,baseline,0.267517
seidel-2d,noarr,25.018103
seidel-2d,baseline,25.014636
seidel-2d,noarr,25.019059
seidel-2d,baseline,25.014646
seidel-2d,noarr,25.016583
seidel-2d,baseline,25.015162
seidel-2d,noarr,25.018349
seidel-2d,baseline,25.014707
seidel-2d,noarr,25.017037
seidel-2d,baseline,25.015353
seidel-2d,noarr,25.018429
seidel-2d,baseline,25.014721
seidel-2d,noarr,25.017449
seidel-2d,baseline,25.014964
seidel-2d,noarr,25.017870
seidel-2d,baseline,25.015369
seidel-2d,noarr,25.016946
seidel-2d,baseline,25.014727
seidel-2d,noarr,25.018451
seidel-2d,baseline,25.015491
lu,noarr,3.975165
lu,baseline,3.973894
lu,noarr,3.977087
lu,baseline,3.974853
lu,noarr,3.975009
lu,baseline,3.973548
lu,noarr,3.977124
lu,baseline,3.974661
lu,noarr,3.974915
lu,baseline,3.973795
lu,noarr,3.976993
lu,baseline,3.974609
lu,noarr,3.975118
lu,baseline,3.973249
lu,noarr,3.975005
lu,baseline,3.973127
lu,noarr,3.975460
lu,baseline,3.975259
lu,noarr,3.976762
lu,baseline,3.973184
durbin,noarr,0.004125
durbin,baseline,0.004084
durbin,noarr,0.004151
durbin,baseline,0.004168
durbin,noarr,0.004120
durbin,baseline,0.004198
durbin,noarr,0.004110
durbin,baseline,0.004066
durbin,noarr,0.004114
durbin,baseline,0.004091
durbin,noarr,0.004135
durbin,baseline,0.004064
durbin,noarr,0.004101
durbin,baseline,0.004082
durbin,noarr,0.004123
durbin,baseline,0.004095
durbin,noarr,0.004099
durbin,baseline,0.004129
durbin,noarr,0.004123
durbin,baseline,0.004072
bicg,noarr,0.012909
bicg,baseline,0.012928
bicg,noarr,0.012948
bicg,baseline,0.012967
bicg,noarr,0.012892
bicg,baseline,0.012942
bicg,noarr,0.012927
bicg,baseline,0.012922
bicg,noarr,0.012944
bicg,baseline,0.012941
bicg,noarr,0.012927
bicg,baseline,0.012956
bicg,noarr,0.012946
bicg,baseline,0.012939
bicg,noarr,0.012915
bicg,baseline,0.012913
bicg,noarr,0.012931
bicg,baseline,0.012925
bicg,noarr,0.012911
bicg,baseline,0.022826
floyd-warshall,noarr,16.263346
floyd-warshall,baseline,17.454603
floyd-warshall,noarr,16.307056
floyd-warshall,baseline,17.499877
floyd-warshall,noarr,16.348983
floyd-warshall,baseline,17.442247
floyd-warshall,noarr,16.289780
floyd-warshall,baseline,17.493206
floyd-warshall,noarr,16.320441
floyd-warshall,baseline,17.461571
floyd-warshall,noarr,16.291301
floyd-warshall,baseline,17.504530
floyd-warshall,noarr,16.329508
floyd-warshall,baseline,17.476524
floyd-warshall,noarr,16.275481
floyd-warshall,baseline,17.477271
floyd-warshall,noarr,16.334861
floyd-warshall,baseline,17.463399
floyd-warshall,noarr,16.277118
floyd-warshall,baseline,17.486300
ludcmp,noarr,3.998732
ludcmp,baseline,3.990938
ludcmp,noarr,3.995109
ludcmp,baseline,3.995297
ludcmp,noarr,3.997932
ludcmp,baseline,3.990852
ludcmp,noarr,3.995068
ludcmp,baseline,3.995030
ludcmp,noarr,3.997804
ludcmp,baseline,3.990509
ludcmp,noarr,3.996995
ludcmp,baseline,3.995698
ludcmp,noarr,3.998696
ludcmp,baseline,3.990591
ludcmp,noarr,3.998349
ludcmp,baseline,3.995219
ludcmp,noarr,3.998431
ludcmp,baseline,3.990593
ludcmp,noarr,3.998117
ludcmp,baseline,3.994818
jacobi-1d,noarr,0.001445
jacobi-1d,baseline,0.001637
jacobi-1d,noarr,0.001440
jacobi-1d,baseline,0.001636
jacobi-1d,noarr,0.001440
jacobi-1d,baseline,0.001636
jacobi-1d,noarr,0.001442
jacobi-1d,baseline,0.001639
jacobi-1d,noarr,0.001510
jacobi-1d,baseline,0.001639
jacobi-1d,noarr,0.001442
jacobi-1d,baseline,0.001643
jacobi-1d,noarr,0.001442
jacobi-1d,baseline,0.001645
jacobi-1d,noarr,0.001459
jacobi-1d,baseline,0.001642
jacobi-1d,noarr,0.001444
jacobi-1d,baseline,0.001641
jacobi-1d,noarr,0.001455
jacobi-1d,baseline,0.001644
covariance,noarr,1.530378
covariance,baseline,1.539257
covariance,noarr,1.537797
covariance,baseline,1.538580
covariance,noarr,1.530837
covariance,baseline,1.537742
covariance,noarr,1.537565
covariance,baseline,1.538165
covariance,noarr,1.539062
covariance,baseline,1.539150
covariance,noarr,1.530889
covariance,baseline,1.538128
covariance,noarr,1.530952
covariance,baseline,1.540122
covariance,noarr,1.539149
covariance,baseline,1.536859
covariance,noarr,1.539121
covariance,baseline,1.538414
covariance,noarr,1.531311
covariance,baseline,1.537977
trisolv,noarr,0.002928
trisolv,baseline,0.002888
trisolv,noarr,0.002905
trisolv,baseline,0.002880
trisolv,noarr,0.002878
trisolv,baseline,0.002876
trisolv,noarr,0.002874
trisolv,baseline,0.002876
trisolv,noarr,0.002908
trisolv,baseline,0.002894
trisolv,noarr,0.002901
trisolv,baseline,0.002860
trisolv,noarr,0.002907
trisolv,baseline,0.002876
trisolv,noarr,0.002898
trisolv,baseline,0.002870
trisolv,noarr,0.002908
trisolv,baseline,0.002879
trisolv,noarr,0.002871
trisolv,baseline,0.002868
cholesky,noarr,1.907781
cholesky,baseline,1.904254
cholesky,noarr,1.910318
cholesky,baseline,1.906513
cholesky,noarr,1.907666
cholesky,baseline,1.906881
cholesky,noarr,1.910395
cholesky,baseline,1.906425
cholesky,noarr,1.910489
cholesky,baseline,1.906910
cholesky,noarr,1.910419
cholesky,baseline,1.906535
cholesky,noarr,1.910610
cholesky,baseline,1.906898
cholesky,noarr,1.907724
cholesky,baseline,1.906760
cholesky,noarr,1.910512
cholesky,baseline,1.906968
cholesky,noarr,1.907722
cholesky,baseline,1.906566
gesummv,noarr,0.005466
gesummv,baseline,0.005513
gesummv,noarr,0.005462
gesummv,baseline,0.005519
gesummv,noarr,0.005477
gesummv,baseline,0.005504
gesummv,noarr,0.005487
gesummv,baseline,0.005517
gesummv,noarr,0.005482
gesummv,baseline,0.005492
gesummv,noarr,0.005469
gesummv,baseline,0.005509
gesummv,noarr,0.005490
gesummv,baseline,0.005503
gesummv,noarr,0.005485
gesummv,baseline,0.005505
gesummv,noarr,0.005492
gesummv,baseline,0.005474
gesummv,noarr,0.005490
gesummv,baseline,0.005474
mvt,noarr,0.011760
mvt,baseline,0.011812
mvt,noarr,0.011775
mvt,baseline,0.011798
mvt,noarr,0.011782
mvt,baseline,0.011772
mvt,noarr,0.011779
mvt,baseline,0.011763
mvt,noarr,0.011775
mvt,baseline,0.011732
mvt,noarr,0.011730
mvt,baseline,0.011764
mvt,noarr,0.011775
mvt,baseline,0.011736
mvt,noarr,0.011782
mvt,baseline,0.011775
mvt,noarr,0.011763
mvt,baseline,0.011760
mvt,noarr,0.011785
