name,implementation,time
2mm,noarr,0.003346
2mm,baseline,0.000604
2mm,noarr,0.003210
2mm,baseline,0.000639
2mm,noarr,0.002926
2mm,baseline,0.000677
2mm,noarr,0.003210
2mm,baseline,0.000621
2mm,noarr,0.003274
2mm,baseline,0.000583
2mm,noarr,0.003242
2mm,baseline,0.000612
2mm,noarr,0.003228
2mm,baseline,0.000661
2mm,noarr,0.003283
2mm,baseline,0.000684
2mm,noarr,0.003079
2mm,baseline,0.000606
2mm,noarr,0.003347
2mm,baseline,0.000629
heat-3d,noarr,0.016449
heat-3d,baseline,0.013473
heat-3d,noarr,0.016269
heat-3d,baseline,0.013771
heat-3d,noarr,0.016095
heat-3d,baseline,0.013519
heat-3d,noarr,0.016394
heat-3d,baseline,0.013782
heat-3d,noarr,0.016042
heat-3d,baseline,0.013669
heat-3d,noarr,0.016280
heat-3d,baseline,0.013475
heat-3d,noarr,0.016257
heat-3d,baseline,0.013570
heat-3d,noarr,0.016535
heat-3d,baseline,0.013903
heat-3d,noarr,0.016296
heat-3d,baseline,0.013561
heat-3d,noarr,0.015978
heat-3d,baseline,0.013618
covariance,noarr,0.003189
covariance,baseline,0.000768
covariance,noarr,0.003068
covariance,baseline,0.000755
covariance,noarr,0.003153
covariance,baseline,0.000744
covariance,noarr,0.003111
covariance,baseline,0.000736
covariance,noarr,0.003134
covariance,baseline,0.000727
covariance,noarr,0.003204
covariance,baseline,0.000816
covariance,noarr,0.003163
covariance,baseline,0.000818
covariance,noarr,0.002972
covariance,baseline,0.000805
covariance,noarr,0.003148
covariance,baseline,0.000719
covariance,noarr,0.003112
covariance,baseline,0.000771
syr2k,noarr,0.002745
syr2k,baseline,0.000382
syr2k,noarr,0.002812
syr2k,baseline,0.000327
syr2k,noarr,0.002958
syr2k,baseline,0.000349
syr2k,noarr,0.002789
syr2k,baseline,0.000348
syr2k,noarr,0.002932
syr2k,baseline,0.000325
syr2k,noarr,0.002836
syr2k,baseline,0.000338
syr2k,noarr,0.002877
syr2k,baseline,0.000317
syr2k,noarr,0.002962
syr2k,baseline,0.000343
syr2k,noarr,0.002955
syr2k,baseline,0.000361
syr2k,noarr,0.002899
syr2k,baseline,0.000336
