name,implementation,time
2mm,noarr,0.004903
2mm,baseline,0.004809
2mm,noarr,0.004271
2mm,baseline,0.004860
2mm,noarr,0.004292
2mm,baseline,0.004599
2mm,noarr,0.003487
2mm,baseline,0.004634
2mm,noarr,0.003679
2mm,baseline,0.005460
2mm,noarr,0.004748
2mm,baseline,0.004995
2mm,noarr,0.004445
2mm,baseline,0.004737
2mm,noarr,0.003660
2mm,baseline,0.004717
2mm,noarr,0.003622
2mm,baseline,0.004525
2mm,noarr,0.003370
2mm,baseline,0.004265
heat-3d,noarr,0.012235
heat-3d,baseline,0.011893
heat-3d,noarr,0.012346
heat-3d,baseline,0.011521
heat-3d,noarr,0.011937
heat-3d,baseline,0.011507
heat-3d,noarr,0.011073
heat-3d,baseline,0.011455
heat-3d,noarr,0.010431
heat-3d,baseline,0.010491
heat-3d,noarr,0.012102
heat-3d,baseline,0.011374
heat-3d,noarr,0.011072
heat-3d,baseline,0.010943
heat-3d,noarr,0.011492
heat-3d,baseline,0.011259
heat-3d,noarr,0.012310
heat-3d,baseline,0.011442
heat-3d,noarr,0.012162
heat-3d,baseline,0.011284
covariance,noarr,0.002976
covariance,baseline,0.003269
covariance,noarr,0.003279
covariance,baseline,0.003636
covariance,noarr,0.002939
covariance,baseline,0.002864
covariance,noarr,0.003206
covariance,baseline,0.003553
covariance,noarr,0.002936
covariance,baseline,0.003053
covariance,noarr,0.002874
covariance,baseline,0.003028
covariance,noarr,0.002745
covariance,baseline,0.003395
covariance,noarr,0.002714
covariance,baseline,0.002989
covariance,noarr,0.002869
covariance,baseline,0.002904
covariance,noarr,0.003127
covariance,baseline,0.003225
syr2k,noarr,0.002877
syr2k,baseline,0.003029
syr2k,noarr,0.002869
syr2k,baseline,0.002548
syr2k,noarr,0.003289
syr2k,baseline,0.002475
syr2k,noarr,0.003008
syr2k,baseline,0.002956
syr2k,noarr,0.002756
syr2k,baseline,0.002719
syr2k,noarr,0.002727
syr2k,baseline,0.002688
syr2k,noarr,0.002997
syr2k,baseline,0.002224
syr2k,noarr,0.003219
syr2k,baseline,0.002311
syr2k,noarr,0.002956
syr2k,baseline,0.002301
syr2k,noarr,0.002949
syr2k,baseline,0.002667
