name,implementation,time
2mm,noarr,0.020296
2mm,baseline,0.020318
2mm,noarr,0.020308
2mm,baseline,0.020230
2mm,noarr,0.020277
2mm,baseline,0.020206
2mm,noarr,0.020249
2mm,baseline,0.020217
2mm,noarr,0.020245
2mm,baseline,0.020240
2mm,noarr,0.020187
2mm,baseline,0.020274
2mm,noarr,0.020193
2mm,baseline,0.020203
2mm,noarr,0.020262
2mm,baseline,0.020290
2mm,noarr,0.020246
2mm,baseline,0.020151
2mm,noarr,0.020216
2mm,baseline,0.020152
gemm,noarr,0.002297
gemm,baseline,0.002050
gemm,noarr,0.002292
gemm,baseline,0.002042
gemm,noarr,0.002293
gemm,baseline,0.002043
gemm,noarr,0.002289
gemm,baseline,0.002042
gemm,noarr,0.002288
gemm,baseline,0.002034
gemm,noarr,0.002288
gemm,baseline,0.002037
gemm,noarr,0.002297
gemm,baseline,0.002038
gemm,noarr,0.002288
gemm,baseline,0.002031
gemm,noarr,0.002287
gemm,baseline,0.002046
gemm,noarr,0.002285
gemm,baseline,0.002044
floyd-warshall,noarr,0.093454
floyd-warshall,baseline,0.093206
floyd-warshall,noarr,0.093341
floyd-warshall,baseline,0.093239
floyd-warshall,noarr,0.093213
floyd-warshall,baseline,0.093257
floyd-warshall,noarr,0.093390
floyd-warshall,baseline,0.093049
floyd-warshall,noarr,0.093415
floyd-warshall,baseline,0.093203
floyd-warshall,noarr,0.093403
floyd-warshall,baseline,0.093155
floyd-warshall,noarr,0.093432
floyd-warshall,baseline,0.093115
floyd-warshall,noarr,0.093390
floyd-warshall,baseline,0.093082
floyd-warshall,noarr,0.093474
floyd-warshall,baseline,0.093167
floyd-warshall,noarr,0.093406
floyd-warshall,baseline,0.093098
covariance,noarr,0.002056
covariance,baseline,0.002207
covariance,noarr,0.002021
covariance,baseline,0.002197
covariance,noarr,0.002074
covariance,baseline,0.002177
covariance,noarr,0.001943
covariance,baseline,0.002177
covariance,noarr,0.001942
covariance,baseline,0.002173
covariance,noarr,0.002055
covariance,baseline,0.002176
covariance,noarr,0.001943
covariance,baseline,0.002197
covariance,noarr,0.002064
covariance,baseline,0.002090
covariance,noarr,0.001941
covariance,baseline,0.002177
covariance,noarr,0.002058
covariance,baseline,0.002193
