name,implementation,time
trmm,noarr,0.006040
trmm,baseline,0.006115
trmm,noarr,0.006042
trmm,baseline,0.006124
trmm,noarr,0.006031
trmm,baseline,0.006101
trmm,noarr,0.006048
trmm,baseline,0.006104
trmm,noarr,0.006030
trmm,baseline,0.006111
trmm,noarr,0.006023
trmm,baseline,0.006053
trmm,noarr,0.006026
trmm,baseline,0.006127
trmm,noarr,0.006032
trmm,baseline,0.006049
trmm,noarr,0.006031
trmm,baseline,0.006106
trmm,noarr,0.006030
trmm,baseline,0.006050
2mm,noarr,0.020021
2mm,baseline,0.020065
2mm,noarr,0.019992
2mm,baseline,0.020055
2mm,noarr,0.020018
2mm,baseline,0.020035
2mm,noarr,0.019990
2mm,baseline,0.020031
2mm,noarr,0.019994
2mm,baseline,0.020037
2mm,noarr,0.020000
2mm,baseline,0.020044
2mm,noarr,0.019994
2mm,baseline,0.020036
2mm,noarr,0.020022
2mm,baseline,0.020011
2mm,noarr,0.020012
2mm,baseline,0.020032
2mm,noarr,0.019989
2mm,baseline,0.020040
heat-3d,noarr,0.012455
heat-3d,baseline,0.009969
heat-3d,noarr,0.012470
heat-3d,baseline,0.009950
heat-3d,noarr,0.012432
heat-3d,baseline,0.010287
heat-3d,noarr,0.012449
heat-3d,baseline,0.009949
heat-3d,noarr,0.012469
heat-3d,baseline,0.009947
heat-3d,noarr,0.012427
heat-3d,baseline,0.009949
heat-3d,noarr,0.012827
heat-3d,baseline,0.009949
heat-3d,noarr,0.012459
heat-3d,baseline,0.009951
heat-3d,noarr,0.012881
heat-3d,baseline,0.009949
heat-3d,noarr,0.012452
heat-3d,baseline,0.009961
gemm,noarr,0.002025
gemm,baseline,0.002074
gemm,noarr,0.002029
gemm,baseline,0.002070
gemm,noarr,0.002028
gemm,baseline,0.002057
gemm,noarr,0.002023
gemm,baseline,0.002072
gemm,noarr,0.002025
gemm,baseline,0.002072
gemm,noarr,0.001949
gemm,baseline,0.002069
gemm,noarr,0.002025
gemm,baseline,0.002073
gemm,noarr,0.002021
gemm,baseline,0.002070
gemm,noarr,0.002024
gemm,baseline,0.002071
gemm,noarr,0.001977
gemm,baseline,0.002068
seidel-2d,noarr,0.196116
seidel-2d,baseline,0.196092
seidel-2d,noarr,0.196015
seidel-2d,baseline,0.196072
seidel-2d,noarr,0.196225
seidel-2d,baseline,0.195845
seidel-2d,noarr,0.196036
seidel-2d,baseline,0.196082
seidel-2d,noarr,0.196225
seidel-2d,baseline,0.195836
seidel-2d,noarr,0.196253
seidel-2d,baseline,0.196076
seidel-2d,noarr,0.196010
seidel-2d,baseline,0.195828
seidel-2d,noarr,0.196221
seidel-2d,baseline,0.195913
seidel-2d,noarr,0.196019
seidel-2d,baseline,0.195949
seidel-2d,noarr,0.196208
seidel-2d,baseline,0.196068
lu,noarr,0.028561
lu,baseline,0.028429
lu,noarr,0.028426
lu,baseline,0.028425
lu,noarr,0.028554
lu,baseline,0.028424
lu,noarr,0.028547
lu,baseline,0.028438
lu,noarr,0.028431
lu,baseline,0.028411
lu,noarr,0.028544
lu,baseline,0.028443
lu,noarr,0.028431
lu,baseline,0.028418
lu,noarr,0.028557
lu,baseline,0.028263
lu,noarr,0.028427
lu,baseline,0.028440
lu,noarr,0.028543
lu,baseline,0.028307
durbin,noarr,0.000187
durbin,baseline,0.000182
durbin,noarr,0.000185
durbin,baseline,0.000182
durbin,noarr,0.000187
durbin,baseline,0.000182
durbin,noarr,0.000187
durbin,baseline,0.000181
durbin,noarr,0.000187
durbin,baseline,0.000182
durbin,noarr,0.000187
durbin,baseline,0.000200
durbin,noarr,0.000187
durbin,baseline,0.000183
durbin,noarr,0.000195
durbin,baseline,0.000182
durbin,noarr,0.000187
durbin,baseline,0.000181
durbin,noarr,0.000186
durbin,baseline,0.000182
bicg,noarr,0.000515
bicg,baseline,0.000520
bicg,noarr,0.000513
bicg,baseline,0.000546
bicg,noarr,0.000515
bicg,baseline,0.000518
bicg,noarr,0.000515
bicg,baseline,0.000511
bicg,noarr,0.000514
bicg,baseline,0.000511
bicg,noarr,0.000518
bicg,baseline,0.000511
bicg,noarr,0.000517
bicg,baseline,0.000516
bicg,noarr,0.000527
bicg,baseline,0.001388
bicg,noarr,0.000514
bicg,baseline,0.000536
bicg,noarr,0.000520
bicg,baseline,0.000510
floyd-warshall,noarr,0.085249
floyd-warshall,baseline,0.092820
floyd-warshall,noarr,0.084679
floyd-warshall,baseline,0.092631
floyd-warshall,noarr,0.085203
floyd-warshall,baseline,0.092814
floyd-warshall,noarr,0.084956
floyd-warshall,baseline,0.092549
floyd-warshall,noarr,0.086919
floyd-warshall,baseline,0.092608
floyd-warshall,noarr,0.085156
floyd-warshall,baseline,0.092882
floyd-warshall,noarr,0.085418
floyd-warshall,baseline,0.092690
floyd-warshall,noarr,0.085034
floyd-warshall,baseline,0.092835
floyd-warshall,noarr,0.085635
floyd-warshall,baseline,0.092785
floyd-warshall,noarr,0.085418
floyd-warshall,baseline,0.092801
ludcmp,noarr,0.028369
ludcmp,baseline,0.028381
ludcmp,noarr,0.028367
ludcmp,baseline,0.028386
ludcmp,noarr,0.028391
ludcmp,baseline,0.028385
ludcmp,noarr,0.028377
ludcmp,baseline,0.028386
ludcmp,noarr,0.028380
ludcmp,baseline,0.028399
ludcmp,noarr,0.028396
ludcmp,baseline,0.028379
ludcmp,noarr,0.028380
ludcmp,baseline,0.028371
ludcmp,noarr,0.028398
ludcmp,baseline,0.028387
ludcmp,noarr,0.028381
ludcmp,baseline,0.028377
ludcmp,noarr,0.028372
ludcmp,baseline,0.028391
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
jacobi-1d,noarr,0.000059
jacobi-1d,baseline,0.000065
covariance,noarr,0.010599
covariance,baseline,0.010732
covariance,noarr,0.010576
covariance,baseline,0.010693
covariance,noarr,0.010576
covariance,baseline,0.010695
covariance,noarr,0.010580
covariance,baseline,0.010664
covariance,noarr,0.010562
covariance,baseline,0.010714
covariance,noarr,0.010571
covariance,baseline,0.010685
covariance,noarr,0.010585
covariance,baseline,0.010698
covariance,noarr,0.010574
covariance,baseline,0.010670
covariance,noarr,0.010566
covariance,baseline,0.010665
covariance,noarr,0.010568
covariance,baseline,0.010706
trisolv,noarr,0.000108
trisolv,baseline,0.000111
trisolv,noarr,0.000108
trisolv,baseline,0.000111
trisolv,noarr,0.000108
trisolv,baseline,0.000111
trisolv,noarr,0.000108
trisolv,baseline,0.000120
trisolv,noarr,0.000108
trisolv,baseline,0.000110
trisolv,noarr,0.000108
trisolv,baseline,0.000111
trisolv,noarr,0.000115
trisolv,baseline,0.000111
trisolv,noarr,0.000121
trisolv,baseline,0.000111
trisolv,noarr,0.000114
trisolv,baseline,0.000111
trisolv,noarr,0.000116
trisolv,baseline,0.000111
cholesky,noarr,0.014068
cholesky,baseline,0.013937
cholesky,noarr,0.014067
cholesky,baseline,0.013928
cholesky,noarr,0.014109
cholesky,baseline,0.013928
cholesky,noarr,0.014081
cholesky,baseline,0.013926
cholesky,noarr,0.014111
cholesky,baseline,0.013930
cholesky,noarr,0.014116
cholesky,baseline,0.013928
cholesky,noarr,0.014183
cholesky,baseline,0.013927
cholesky,noarr,0.014094
cholesky,baseline,0.013927
cholesky,noarr,0.014067
cholesky,baseline,0.013927
cholesky,noarr,0.014108
cholesky,baseline,0.013928
gesummv,noarr,0.000197
gesummv,baseline,0.000211
gesummv,noarr,0.000197
gesummv,baseline,0.000198
gesummv,noarr,0.000205
gesummv,baseline,0.000198
gesummv,noarr,0.000222
gesummv,baseline,0.000199
gesummv,noarr,0.000197
gesummv,baseline,0.000199
gesummv,noarr,0.000197
gesummv,baseline,0.000199
gesummv,noarr,0.000197
gesummv,baseline,0.000199
gesummv,noarr,0.000196
gesummv,baseline,0.000206
gesummv,noarr,0.000197
gesummv,baseline,0.000199
gesummv,noarr,0.000197
gesummv,baseline,0.000199
mvt,noarr,0.000443
mvt,baseline,0.000451
mvt,noarr,0.000449
mvt,baseline,0.000452
mvt,noarr,0.000447
mvt,baseline,0.000445
mvt,noarr,0.000449
mvt,baseline,0.000444
mvt,noarr,0.000450
mvt,baseline,0.000451
mvt,noarr,0.000448
mvt,baseline,0.000450
mvt,noarr,0.000451
mvt,baseline,0.000446
mvt,noarr,0.000451
mvt,baseline,0.000445
mvt,noarr,0.000449
mvt,baseline,0.000450
mvt,noarr,0.000451
mvt,baseline,0.000452
fdtd-2d,noarr,0.005040
fdtd-2d,baseline,0.004789
fdtd-2d,noarr,0.005029
fdtd-2d,baseline,0.004781
fdtd-2d,noarr,0.005024
fdtd-2d,baseline,0.004792
fdtd-2d,noarr,0.005015
fdtd-2d,baseline,0.004781
fdtd-2d,noarr,0.005017
fdtd-2d,baseline,0.004791
fdtd-2d,noarr,0.005031
fdtd-2d,baseline,0.004781
fdtd-2d,noarr,0.005022
fdtd-2d,baseline,0.004799
fdtd-2d,noarr,0.005021
fdtd-2d,baseline,0.004794
fdtd-2d,noarr,0.005024
fdtd-2d,baseline,0.004999
fdtd-2d,noarr,0.005244
fdtd-2d,baseline,0.004793
jacobi-2d,noarr,0.007286
jacobi-2d,baseline,0.005980
jacobi-2d,noarr,0.006140
jacobi-2d,baseline,0.005980
jacobi-2d,noarr,0.007297
jacobi-2d,baseline,0.006520
jacobi-2d,noarr,0.006205
jacobi-2d,baseline,0.006032
jacobi-2d,noarr,0.006141
jacobi-2d,baseline,0.006521
jacobi-2d,noarr,0.006193
jacobi-2d,baseline,0.006027
jacobi-2d,noarr,0.006137
jacobi-2d,baseline,0.005979
jacobi-2d,noarr,0.007824
jacobi-2d,baseline,0.006029
jacobi-2d,noarr,0.006137
jacobi-2d,baseline,0.005978
jacobi-2d,noarr,0.006198
jacobi-2d,baseline,0.006033
gemver,noarr,0.000493
gemver,baseline,0.000497
gemver,noarr,0.000501
gemver,baseline,0.000498
gemver,noarr,0.000499
gemver,baseline,0.000501
gemver,noarr,0.000493
gemver,baseline,0.000506
gemver,noarr,0.000492
gemver,baseline,0.000496
gemver,noarr,0.000500
gemver,baseline,0.000496
gemver,noarr,0.000501
gemver,baseline,0.000523
gemver,noarr,0.000499
gemver,baseline,0.000507
gemver,noarr,0.000499
gemver,baseline,0.000496
gemver,noarr,0.000493
gemver,baseline,0.000496
symm,noarr,0.007690
symm,baseline,0.007667
symm,noarr,0.007720
symm,baseline,0.007689
symm,noarr,0.007735
symm,baseline,0.007683
symm,noarr,0.007709
symm,baseline,0.007872
symm,noarr,0.007699
symm,baseline,0.007667
symm,noarr,0.007725
symm,baseline,0.007685
symm,noarr,0.007704
symm,baseline,0.007650
symm,noarr,0.007721
symm,baseline,0.007662
symm,noarr,0.007677
symm,baseline,0.007648
symm,noarr,0.007740
symm,baseline,0.008423
3mm,noarr,0.030711
3mm,baseline,0.031230
3mm,noarr,0.030877
3mm,baseline,0.030962
3mm,noarr,0.030690
3mm,baseline,0.030968
3mm,noarr,0.030891
3mm,baseline,0.030958
3mm,noarr,0.030690
3mm,baseline,0.030992
3mm,noarr,0.030887
3mm,baseline,0.030958
3mm,noarr,0.030682
3mm,baseline,0.031182
3mm,noarr,0.030888
3mm,baseline,0.030964
3mm,noarr,0.030677
3mm,baseline,0.031163
3mm,noarr,0.030893
3mm,baseline,0.030949
correlation,noarr,0.010664
correlation,baseline,0.010710
correlation,noarr,0.010664
correlation,baseline,0.010728
correlation,noarr,0.010666
correlation,baseline,0.010685
correlation,noarr,0.010672
correlation,baseline,0.010695
correlation,noarr,0.010673
correlation,baseline,0.010707
correlation,noarr,0.010643
correlation,baseline,0.010684
correlation,noarr,0.010645
correlation,baseline,0.010692
correlation,noarr,0.010663
correlation,baseline,0.010697
correlation,noarr,0.010651
correlation,baseline,0.010696
correlation,noarr,0.010654
correlation,baseline,0.010691
nussinov,noarr,0.057905
nussinov,baseline,0.057866
nussinov,noarr,0.057864
nussinov,baseline,0.057755
nussinov,noarr,0.057752
nussinov,baseline,0.057830
nussinov,noarr,0.057846
nussinov,baseline,0.057745
nussinov,noarr,0.057748
nussinov,baseline,0.057829
nussinov,noarr,0.057858
nussinov,baseline,0.057754
nussinov,noarr,0.057746
nussinov,baseline,0.057838
nussinov,noarr,0.057838
nussinov,baseline,0.057755
nussinov,noarr,0.057758
nussinov,baseline,0.057750
nussinov,noarr,0.057845
nussinov,baseline,0.057771
deriche,noarr,0.006930
deriche,baseline,0.008921
deriche,noarr,0.006863
deriche,baseline,0.008628
deriche,noarr,0.006833
deriche,baseline,0.008590
deriche,noarr,0.006889
deriche,baseline,0.008755
deriche,noarr,0.006859
deriche,baseline,0.008622
deriche,noarr,0.006929
deriche,baseline,0.008597
deriche,noarr,0.006862
deriche,baseline,0.008631
deriche,noarr,0.006875
deriche,baseline,0.008701
deriche,noarr,0.006852
deriche,baseline,0.008612
deriche,noarr,0.006889
deriche,baseline,0.008682
syrk,noarr,0.002292
syrk,baseline,0.002232
syrk,noarr,0.002304
syrk,baseline,0.002222
syrk,noarr,0.002300
syrk,baseline,0.002236
syrk,noarr,0.002297
syrk,baseline,0.002224
syrk,noarr,0.002293
syrk,baseline,0.002224
syrk,noarr,0.002294
syrk,baseline,0.002236
syrk,noarr,0.002310
syrk,baseline,0.002230
syrk,noarr,0.002300
syrk,baseline,0.002229
syrk,noarr,0.002306
syrk,baseline,0.002233
syrk,noarr,0.002293
syrk,baseline,0.002227
adi,noarr,0.097422
adi,baseline,0.089270
adi,noarr,0.097429
adi,baseline,0.089245
adi,noarr,0.098679
adi,baseline,0.089268
adi,noarr,0.098700
adi,baseline,0.089207
adi,noarr,0.099334
adi,baseline,0.089253
adi,noarr,0.098715
adi,baseline,0.089171
adi,noarr,0.099829
adi,baseline,0.089204
adi,noarr,0.098676
adi,baseline,0.089152
adi,noarr,0.099817
adi,baseline,0.089217
adi,noarr,0.098681
adi,baseline,0.089147
gramschmidt,noarr,0.013751
gramschmidt,baseline,0.013439
gramschmidt,noarr,0.013742
gramschmidt,baseline,0.013429
gramschmidt,noarr,0.013748
gramschmidt,baseline,0.013438
gramschmidt,noarr,0.013683
gramschmidt,baseline,0.013430
gramschmidt,noarr,0.013725
gramschmidt,baseline,0.013430
gramschmidt,noarr,0.013741
gramschmidt,baseline,0.013412
gramschmidt,noarr,0.013727
gramschmidt,baseline,0.013426
gramschmidt,noarr,0.013723
gramschmidt,baseline,0.013430
gramschmidt,noarr,0.013721
gramschmidt,baseline,0.013427
gramschmidt,noarr,0.013725
gramschmidt,baseline,0.013415
atax,noarr,0.000319
atax,baseline,0.000266
atax,noarr,0.000311
atax,baseline,0.000266
atax,noarr,0.000318
atax,baseline,0.000266
atax,noarr,0.000312
atax,baseline,0.000266
atax,noarr,0.000311
atax,baseline,0.000299
atax,noarr,0.000312
atax,baseline,0.000259
atax,noarr,0.000260
atax,baseline,0.000259
atax,noarr,0.000312
atax,baseline,0.000259
atax,noarr,0.000311
atax,baseline,0.000259
atax,noarr,0.000311
atax,baseline,0.000258
syr2k,noarr,0.005800
syr2k,baseline,0.005668
syr2k,noarr,0.005773
syr2k,baseline,0.005697
syr2k,noarr,0.005738
syr2k,baseline,0.005658
syr2k,noarr,0.005830
syr2k,baseline,0.005681
syr2k,noarr,0.005775
syr2k,baseline,0.005738
syr2k,noarr,0.005757
syr2k,baseline,0.005668
syr2k,noarr,0.005782
syr2k,baseline,0.005660
syr2k,noarr,0.005724
syr2k,baseline,0.005716
syr2k,noarr,0.005781
syr2k,baseline,0.005651
syr2k,noarr,0.005787
syr2k,baseline,0.005735
doitgen,noarr,0.009412
doitgen,baseline,0.007586
doitgen,noarr,0.009407
doitgen,baseline,0.007574
doitgen,noarr,0.009408
doitgen,baseline,0.007588
doitgen,noarr,0.009416
doitgen,baseline,0.007580
doitgen,noarr,0.009418
doitgen,baseline,0.007419
doitgen,noarr,0.009414
doitgen,baseline,0.007588
doitgen,noarr,0.009415
doitgen,baseline,0.007434
doitgen,noarr,0.009404
doitgen,baseline,0.007576
doitgen,noarr,0.009406
doitgen,baseline,0.007421
doitgen,noarr,0.009409
doitgen,baseline,0.007576
