name,implementation,time
2mm,noarr,0.416141
2mm,baseline,0.481596
2mm,noarr,0.431099
2mm,baseline,0.476945
2mm,noarr,0.426074
2mm,baseline,0.477857
2mm,noarr,0.432714
2mm,baseline,0.479372
2mm,noarr,0.425239
2mm,baseline,0.464370
2mm,noarr,0.420596
2mm,baseline,0.478556
2mm,noarr,0.415038
2mm,baseline,0.487435
2mm,noarr,0.431540
2mm,baseline,0.475620
2mm,noarr,0.419938
2mm,baseline,0.478122
2mm,noarr,0.436212
2mm,baseline,0.481954
heat-3d,noarr,4.057099
heat-3d,baseline,3.990626
heat-3d,noarr,4.156685
heat-3d,baseline,6.037525
heat-3d,noarr,3.735459
heat-3d,baseline,3.715805
heat-3d,noarr,4.120655
heat-3d,baseline,3.934061
heat-3d,noarr,4.514923
heat-3d,baseline,3.216686
heat-3d,noarr,4.461186
heat-3d,baseline,3.735196
heat-3d,noarr,4.185003
heat-3d,baseline,6.482586
heat-3d,noarr,4.319340
heat-3d,baseline,3.654630
heat-3d,noarr,5.213378
heat-3d,baseline,4.794372
heat-3d,noarr,5.045024
heat-3d,baseline,4.082413
covariance,noarr,0.699824
covariance,baseline,0.711436
covariance,noarr,0.705999
covariance,baseline,0.706365
covariance,noarr,0.698657
covariance,baseline,0.684130
covariance,noarr,0.724639
covariance,baseline,0.698702
covariance,noarr,0.710673
covariance,baseline,0.687187
covariance,noarr,0.697184
covariance,baseline,0.704092
covariance,noarr,0.695624
covariance,baseline,0.694427
covariance,noarr,0.703118
covariance,baseline,0.703906
covariance,noarr,0.697694
covariance,baseline,0.696612
covariance,noarr,0.691151
covariance,baseline,0.702605
syr2k,noarr,0.594674
syr2k,baseline,0.657810
syr2k,noarr,0.603026
syr2k,baseline,0.599857
syr2k,noarr,0.696231
syr2k,baseline,0.630418
syr2k,noarr,0.650231
syr2k,baseline,0.580782
syr2k,noarr,0.626329
syr2k,baseline,0.665494
syr2k,noarr,0.603211
syr2k,baseline,0.616349
syr2k,noarr,0.714908
syr2k,baseline,0.624246
syr2k,noarr,0.664086
syr2k,baseline,0.665437
syr2k,noarr,0.635833
syr2k,baseline,0.654851
syr2k,noarr,0.629103
syr2k,baseline,0.668838
