name,implementation,time
2mm,noarr,0.434078
2mm,baseline,0.463033
2mm,noarr,0.428962
2mm,baseline,0.467792
2mm,noarr,0.430471
2mm,baseline,0.457984
2mm,noarr,0.426576
2mm,baseline,0.464351
2mm,noarr,0.424944
2mm,baseline,0.458087
2mm,noarr,0.420494
2mm,baseline,0.468083
2mm,noarr,0.421420
2mm,baseline,0.467770
2mm,noarr,0.420957
2mm,baseline,0.452428
2mm,noarr,0.428455
2mm,baseline,0.458395
2mm,noarr,0.422500
2mm,baseline,0.455793
heat-3d,noarr,4.873621
heat-3d,baseline,5.805443
heat-3d,noarr,5.786092
heat-3d,baseline,5.672581
heat-3d,noarr,5.669564
heat-3d,baseline,5.443441
heat-3d,noarr,5.548360
heat-3d,baseline,5.275893
heat-3d,noarr,5.580465
heat-3d,baseline,6.036184
heat-3d,noarr,5.825871
heat-3d,baseline,5.728073
heat-3d,noarr,5.106013
heat-3d,baseline,5.350872
heat-3d,noarr,5.577588
heat-3d,baseline,5.509554
heat-3d,noarr,5.146804
heat-3d,baseline,5.601890
heat-3d,noarr,5.056591
heat-3d,baseline,5.428315
covariance,noarr,0.455834
covariance,baseline,0.455752
covariance,noarr,0.466319
covariance,baseline,0.466106
covariance,noarr,0.453251
covariance,baseline,0.462930
covariance,noarr,0.457475
covariance,baseline,0.461211
covariance,noarr,0.452885
covariance,baseline,0.464409
covariance,noarr,0.457947
covariance,baseline,0.466432
covariance,noarr,0.459856
covariance,baseline,0.456060
covariance,noarr,0.447483
covariance,baseline,0.460689
covariance,noarr,0.462287
covariance,baseline,0.468356
covariance,noarr,0.448147
covariance,baseline,0.469683
syr2k,noarr,0.463025
syr2k,baseline,0.456808
syr2k,noarr,0.485363
syr2k,baseline,0.466871
syr2k,noarr,0.460475
syr2k,baseline,0.471837
syr2k,noarr,0.472727
syr2k,baseline,0.449824
syr2k,noarr,0.456286
syr2k,baseline,0.466714
syr2k,noarr,0.467796
syr2k,baseline,0.482027
syr2k,noarr,0.460206
syr2k,baseline,0.449631
syr2k,noarr,0.475930
syr2k,baseline,0.500397
syr2k,noarr,0.468058
syr2k,baseline,0.473146
syr2k,noarr,0.471397
syr2k,baseline,0.477068
