name,implementation,time
2mm,noarr,19.075064
2mm,baseline,19.081346
2mm,noarr,19.067813
2mm,baseline,19.081930
2mm,noarr,19.076351
2mm,baseline,19.079403
2mm,noarr,19.083732
2mm,baseline,19.082497
2mm,noarr,19.075625
2mm,baseline,19.083500
2mm,noarr,19.081071
2mm,baseline,19.086944
2mm,noarr,19.082708
2mm,baseline,19.086218
2mm,noarr,19.081959
2mm,baseline,19.085878
2mm,noarr,19.072081
2mm,baseline,19.081483
2mm,noarr,19.082379
2mm,baseline,19.083996
gemm,noarr,2.367666
gemm,baseline,2.308818
gemm,noarr,2.368007
gemm,baseline,2.304459
gemm,noarr,2.369602
gemm,baseline,2.308458
gemm,noarr,2.367028
gemm,baseline,2.304892
gemm,noarr,2.370912
gemm,baseline,2.307816
gemm,noarr,2.367606
gemm,baseline,2.304868
gemm,noarr,2.369332
gemm,baseline,2.308828
gemm,noarr,2.366934
gemm,baseline,2.304962
gemm,noarr,2.367073
gemm,baseline,2.309200
gemm,noarr,2.366475
gemm,baseline,2.305231
floyd-warshall,noarr,130.120552
floyd-warshall,baseline,130.170926
floyd-warshall,noarr,130.163408
floyd-warshall,baseline,130.144994
floyd-warshall,noarr,130.115005
floyd-warshall,baseline,130.154443
floyd-warshall,noarr,130.116664
floyd-warshall,baseline,130.171510
floyd-warshall,noarr,130.101434
floyd-warshall,baseline,130.152290
floyd-warshall,noarr,130.237788
floyd-warshall,baseline,130.163232
floyd-warshall,noarr,130.081773
floyd-warshall,baseline,130.146313
floyd-warshall,noarr,130.186697
floyd-warshall,baseline,130.154953
floyd-warshall,noarr,130.108632
floyd-warshall,baseline,130.133296
floyd-warshall,noarr,130.096694
floyd-warshall,baseline,130.137400
covariance,noarr,2.515476
covariance,baseline,2.526652
covariance,noarr,2.516027
covariance,baseline,2.518855
covariance,noarr,2.522198
covariance,baseline,2.530851
covariance,noarr,2.516204
covariance,baseline,2.520228
covariance,noarr,2.513901
covariance,baseline,2.529536
covariance,noarr,2.515770
covariance,baseline,2.523513
covariance,noarr,2.514492
covariance,baseline,2.525735
covariance,noarr,2.515743
covariance,baseline,2.525016
covariance,noarr,2.515705
covariance,baseline,2.524460
covariance,noarr,2.515608
covariance,baseline,2.526023
