name,implementation,time
trmm,noarr,7.695749
trmm,baseline,7.711812
trmm,noarr,7.679272
trmm,baseline,7.684889
trmm,noarr,7.700169
trmm,baseline,7.686634
trmm,noarr,7.679944
trmm,baseline,7.717516
trmm,noarr,7.693749
trmm,baseline,7.687535
trmm,noarr,7.674486
trmm,baseline,7.707457
trmm,noarr,7.694466
trmm,baseline,7.681737
trmm,noarr,7.693564
trmm,baseline,7.714829
trmm,noarr,7.675223
trmm,baseline,7.688861
trmm,noarr,7.696641
trmm,baseline,7.684330
2mm,noarr,19.938361
2mm,baseline,20.114464
2mm,noarr,20.012802
2mm,baseline,20.021979
2mm,noarr,19.925567
2mm,baseline,20.107499
2mm,noarr,19.913300
2mm,baseline,19.989297
2mm,noarr,19.958934
2mm,baseline,20.014697
2mm,noarr,19.939149
2mm,baseline,20.135687
2mm,noarr,19.946061
2mm,baseline,19.985415
2mm,noarr,19.950154
2mm,baseline,20.114782
2mm,noarr,19.950962
2mm,baseline,19.979609
2mm,noarr,19.966174
2mm,baseline,20.112420
heat-3d,noarr,15.866230
heat-3d,baseline,15.190553
heat-3d,noarr,15.945440
heat-3d,baseline,14.269139
heat-3d,noarr,15.974347
heat-3d,baseline,14.282187
heat-3d,noarr,15.958816
heat-3d,baseline,15.195281
heat-3d,noarr,15.936316
heat-3d,baseline,15.196094
heat-3d,noarr,15.956204
heat-3d,baseline,15.174182
heat-3d,noarr,15.877297
heat-3d,baseline,15.190354
heat-3d,noarr,15.983978
heat-3d,baseline,15.188845
heat-3d,noarr,15.878218
heat-3d,baseline,15.201284
heat-3d,noarr,16.166917
heat-3d,baseline,15.198781
gemm,noarr,2.810881
gemm,baseline,2.830427
gemm,noarr,2.810149
gemm,baseline,2.793307
gemm,noarr,2.816554
gemm,baseline,2.815691
gemm,noarr,2.807941
gemm,baseline,2.796925
gemm,noarr,2.821776
gemm,baseline,2.814950
gemm,noarr,2.811548
gemm,baseline,2.787208
gemm,noarr,2.797272
gemm,baseline,2.809429
gemm,noarr,2.798923
gemm,baseline,2.801162
gemm,noarr,2.811994
gemm,baseline,2.812536
gemm,noarr,2.799078
gemm,baseline,2.788384
seidel-2d,noarr,200.630094
seidel-2d,baseline,200.617591
seidel-2d,noarr,200.632597
seidel-2d,baseline,200.608652
seidel-2d,noarr,200.623445
seidel-2d,baseline,200.614654
seidel-2d,noarr,200.634998
seidel-2d,baseline,200.614855
seidel-2d,noarr,200.622684
seidel-2d,baseline,200.614643
seidel-2d,noarr,200.629571
seidel-2d,baseline,200.612066
seidel-2d,noarr,200.633272
seidel-2d,baseline,200.615064
seidel-2d,noarr,200.620753
seidel-2d,baseline,200.625873
seidel-2d,noarr,200.629813
seidel-2d,baseline,200.613612
seidel-2d,noarr,200.621727
seidel-2d,baseline,200.611959
lu,noarr,34.502632
lu,baseline,34.353553
lu,noarr,34.429253
lu,baseline,34.440951
lu,noarr,34.491364
lu,baseline,34.371923
lu,noarr,34.428473
lu,baseline,34.435503
lu,noarr,34.507823
lu,baseline,34.422785
lu,noarr,34.419209
lu,baseline,34.492494
lu,noarr,34.507612
lu,baseline,34.455808
lu,noarr,34.435588
lu,baseline,34.364404
lu,noarr,34.490353
lu,baseline,34.471204
lu,noarr,34.437374
