name,implementation,time
2mm,noarr,1.090540
2mm,baseline,1.137754
2mm,noarr,1.087631
2mm,baseline,1.135316
2mm,noarr,1.089374
2mm,baseline,1.136909
2mm,noarr,1.088321
2mm,baseline,1.136689
2mm,noarr,1.090634
2mm,baseline,1.137549
2mm,noarr,1.089954
2mm,baseline,1.136325
2mm,noarr,1.089539
2mm,baseline,1.136367
2mm,noarr,1.088969
2mm,baseline,1.136442
2mm,noarr,1.090904
2mm,baseline,1.134050
2mm,noarr,1.090439
2mm,baseline,1.136553
2DConvolution,noarr,0.020477
2DConvolution,baseline,0.019750
2DConvolution,noarr,0.020176
2DConvolution,baseline,0.020288
2DConvolution,noarr,0.020525
2DConvolution,baseline,0.020479
2DConvolution,noarr,0.020948
2DConvolution,baseline,0.020551
2DConvolution,noarr,0.020285
2DConvolution,baseline,0.020232
2DConvolution,noarr,0.020598
2DConvolution,baseline,0.020428
2DConvolution,noarr,0.020530
2DConvolution,baseline,0.020492
2DConvolution,noarr,0.020576
2DConvolution,baseline,0.019704
2DConvolution,noarr,0.020446
2DConvolution,baseline,0.020398
2DConvolution,noarr,0.020784
2DConvolution,baseline,0.020634
gemm,noarr,0.311993
gemm,baseline,0.310775
gemm,noarr,0.311025
gemm,baseline,0.311728
gemm,noarr,0.311822
gemm,baseline,0.310932
gemm,noarr,0.310239
gemm,baseline,0.311532
gemm,noarr,0.310883
gemm,baseline,0.311122
gemm,noarr,0.310259
gemm,baseline,0.311557
gemm,noarr,0.311650
gemm,baseline,0.311257
gemm,noarr,0.310441
gemm,baseline,0.311720
gemm,noarr,0.311171
gemm,baseline,0.310815
gemm,noarr,0.310589
gemm,baseline,0.311106
jacobi2d,noarr,0.206816
jacobi2d,baseline,0.208755
jacobi2d,noarr,0.207898
jacobi2d,baseline,0.208322
jacobi2d,noarr,0.207480
jacobi2d,baseline,0.208688
jacobi2d,noarr,0.207922
jacobi2d,baseline,0.208030
jacobi2d,noarr,0.206992
jacobi2d,baseline,0.208620
jacobi2d,noarr,0.208224
jacobi2d,baseline,0.208528
jacobi2d,noarr,0.206910
jacobi2d,baseline,0.208547
jacobi2d,noarr,0.207327
jacobi2d,baseline,0.207654
jacobi2d,noarr,0.207656
jacobi2d,baseline,0.208888
jacobi2d,noarr,0.207303
jacobi2d,baseline,0.207969
gramschmidt,noarr,1.314673
gramschmidt,baseline,1.495272
gramschmidt,noarr,1.314625
gramschmidt,baseline,1.494670
gramschmidt,noarr,1.313654
gramschmidt,baseline,1.495721
gramschmidt,noarr,1.314269
gramschmidt,baseline,1.494657
gramschmidt,noarr,1.313184
gramschmidt,baseline,1.495207
gramschmidt,noarr,1.314453
gramschmidt,baseline,1.494688
gramschmidt,noarr,1.313240
gramschmidt,baseline,1.495569
gramschmidt,noarr,1.314412
gramschmidt,baseline,1.494833
gramschmidt,noarr,1.313338
gramschmidt,baseline,1.495525
gramschmidt,noarr,1.314350
gramschmidt,baseline,1.494463
