name,implementation,time
2mm,noarr,0.002699
2mm,baseline,0.000097
2mm,noarr,0.002780
2mm,baseline,0.000079
2mm,noarr,0.002493
2mm,baseline,0.000080
2mm,noarr,0.002694
2mm,baseline,0.000103
2mm,noarr,0.002609
2mm,baseline,0.000082
2mm,noarr,0.002635
2mm,baseline,0.000086
2mm,noarr,0.002693
2mm,baseline,0.000094
2mm,noarr,0.002604
2mm,baseline,0.000090
2mm,noarr,0.002454
2mm,baseline,0.000130
2mm,noarr,0.002650
2mm,baseline,0.000083
heat-3d,noarr,0.004903
heat-3d,baseline,0.002129
heat-3d,noarr,0.004561
heat-3d,baseline,0.002133
heat-3d,noarr,0.004595
heat-3d,baseline,0.002062
heat-3d,noarr,0.004564
heat-3d,baseline,0.002105
heat-3d,noarr,0.004694
heat-3d,baseline,0.002135
heat-3d,noarr,0.004599
heat-3d,baseline,0.002188
heat-3d,noarr,0.004784
heat-3d,baseline,0.002212
heat-3d,noarr,0.004371
heat-3d,baseline,0.002195
heat-3d,noarr,0.004664
heat-3d,baseline,0.002184
heat-3d,noarr,0.004409
heat-3d,baseline,0.002053
covariance,noarr,0.002460
covariance,baseline,0.000129
covariance,noarr,0.002567
covariance,baseline,0.000100
covariance,noarr,0.002653
covariance,baseline,0.000130
covariance,noarr,0.002648
covariance,baseline,0.000145
covariance,noarr,0.002619
covariance,baseline,0.000147
covariance,noarr,0.002467
covariance,baseline,0.000128
covariance,noarr,0.002609
covariance,baseline,0.000123
covariance,noarr,0.002339
covariance,baseline,0.000150
covariance,noarr,0.002304
covariance,baseline,0.000120
covariance,noarr,0.002663
covariance,baseline,0.000144
syr2k,noarr,0.002549
syr2k,baseline,0.000099
syr2k,noarr,0.002747
syr2k,baseline,0.000093
syr2k,noarr,0.002782
syr2k,baseline,0.000106
syr2k,noarr,0.002475
syr2k,baseline,0.000112
syr2k,noarr,0.002392
syr2k,baseline,0.000106
syr2k,noarr,0.002727
syr2k,baseline,0.000102
syr2k,noarr,0.002781
syr2k,baseline,0.000071
syr2k,noarr,0.002763
syr2k,baseline,0.000109
syr2k,noarr,0.002392
syr2k,baseline,0.000101
syr2k,noarr,0.002388
syr2k,baseline,0.000117
