name,implementation,time
2mm,noarr,0.001533
2mm,baseline,0.001820
2mm,noarr,0.001605
2mm,baseline,0.001524
2mm,noarr,0.001687
2mm,baseline,0.001540
2mm,noarr,0.001434
2mm,baseline,0.001716
2mm,noarr,0.001386
2mm,baseline,0.001404
2mm,noarr,0.001428
2mm,baseline,0.001589
2mm,noarr,0.001246
2mm,baseline,0.001272
2mm,noarr,0.001358
2mm,baseline,0.001598
2mm,noarr,0.001344
2mm,baseline,0.001670
2mm,noarr,0.001375
2mm,baseline,0.001412
heat-3d,noarr,0.002431
heat-3d,baseline,0.002047
heat-3d,noarr,0.002103
heat-3d,baseline,0.001944
heat-3d,noarr,0.001974
heat-3d,baseline,0.001787
heat-3d,noarr,0.001967
heat-3d,baseline,0.001809
heat-3d,noarr,0.002234
heat-3d,baseline,0.001711
heat-3d,noarr,0.002052
heat-3d,baseline,0.001899
heat-3d,noarr,0.002095
heat-3d,baseline,0.002032
heat-3d,noarr,0.001926
heat-3d,baseline,0.002058
heat-3d,noarr,0.001798
heat-3d,baseline,0.001980
heat-3d,noarr,0.002141
heat-3d,baseline,0.002043
covariance,noarr,0.001407
covariance,baseline,0.001453
covariance,noarr,0.001348
covariance,baseline,0.001346
covariance,noarr,0.001329
covariance,baseline,0.001400
covariance,noarr,0.001316
covariance,baseline,0.001534
covariance,noarr,0.001349
covariance,baseline,0.001615
covariance,noarr,0.001489
covariance,baseline,0.001603
covariance,noarr,0.001413
covariance,baseline,0.001664
covariance,noarr,0.001439
covariance,baseline,0.001532
covariance,noarr,0.001302
covariance,baseline,0.001469
covariance,noarr,0.001662
covariance,baseline,0.001334
syr2k,noarr,0.001585
syr2k,baseline,0.001457
syr2k,noarr,0.001526
syr2k,baseline,0.001230
syr2k,noarr,0.001305
syr2k,baseline,0.001354
syr2k,noarr,0.001249
syr2k,baseline,0.001214
syr2k,noarr,0.001332
syr2k,baseline,0.001368
syr2k,noarr,0.001333
syr2k,baseline,0.001206
syr2k,noarr,0.001510
syr2k,baseline,0.001381
syr2k,noarr,0.001383
syr2k,baseline,0.001292
syr2k,noarr,0.001266
syr2k,baseline,0.001219
syr2k,noarr,0.001353
syr2k,baseline,0.001222
