name,implementation,time
2mm,noarr,0.000329
2mm,baseline,0.000366
2mm,noarr,0.000330
2mm,baseline,0.000365
2mm,noarr,0.000321
2mm,baseline,0.000369
2mm,noarr,0.000321
2mm,baseline,0.000365
2mm,noarr,0.000321
2mm,baseline,0.000370
2mm,noarr,0.000328
2mm,baseline,0.000365
2mm,noarr,0.000331
2mm,baseline,0.000363
2mm,noarr,0.000321
2mm,baseline,0.000371
2mm,noarr,0.000321
2mm,baseline,0.000365
2mm,noarr,0.000318
2mm,baseline,0.000371
gemm,noarr,0.000103
gemm,baseline,0.000064
gemm,noarr,0.000103
gemm,baseline,0.000064
gemm,noarr,0.000102
gemm,baseline,0.000064
gemm,noarr,0.000103
gemm,baseline,0.000064
gemm,noarr,0.000103
gemm,baseline,0.000065
gemm,noarr,0.000101
gemm,baseline,0.000064
gemm,noarr,0.000103
gemm,baseline,0.000064
gemm,noarr,0.000102
gemm,baseline,0.000064
gemm,noarr,0.000103
gemm,baseline,0.000064
gemm,noarr,0.000101
gemm,baseline,0.000064
floyd-warshall,noarr,0.004619
floyd-warshall,baseline,0.004621
floyd-warshall,noarr,0.004626
floyd-warshall,baseline,0.004610
floyd-warshall,noarr,0.004618
floyd-warshall,baseline,0.004617
floyd-warshall,noarr,0.004616
floyd-warshall,baseline,0.004623
floyd-warshall,noarr,0.004625
floyd-warshall,baseline,0.004610
floyd-warshall,noarr,0.004615
floyd-warshall,baseline,0.004616
floyd-warshall,noarr,0.004633
floyd-warshall,baseline,0.004578
floyd-warshall,noarr,0.004622
floyd-warshall,baseline,0.004610
floyd-warshall,noarr,0.004632
floyd-warshall,baseline,0.004631
floyd-warshall,noarr,0.004622
floyd-warshall,baseline,0.004621
covariance,noarr,0.000132
covariance,baseline,0.000141
covariance,noarr,0.000133
covariance,baseline,0.000151
covariance,noarr,0.000133
covariance,baseline,0.000142
covariance,noarr,0.000133
covariance,baseline,0.000140
covariance,noarr,0.000133
covariance,baseline,0.000141
covariance,noarr,0.000133
covariance,baseline,0.000140
covariance,noarr,0.000140
covariance,baseline,0.000147
covariance,noarr,0.000134
covariance,baseline,0.000141
covariance,noarr,0.000163
covariance,baseline,0.000142
covariance,noarr,0.000133
covariance,baseline,0.000143
