name,implementation,time
trmm,noarr,0.000151
trmm,baseline,0.000135
trmm,noarr,0.000141
trmm,baseline,0.000136
trmm,noarr,0.000141
trmm,baseline,0.000135
trmm,noarr,0.000142
trmm,baseline,0.000136
trmm,noarr,0.000141
trmm,baseline,0.000135
trmm,noarr,0.000141
trmm,baseline,0.000135
trmm,noarr,0.000141
trmm,baseline,0.000135
trmm,noarr,0.000141
trmm,baseline,0.000135
trmm,noarr,0.000149
trmm,baseline,0.000136
trmm,noarr,0.000142
trmm,baseline,0.000134
2mm,noarr,0.000318
2mm,baseline,0.000366
2mm,noarr,0.000312
2mm,baseline,0.000366
2mm,noarr,0.000312
2mm,baseline,0.000370
2mm,noarr,0.000318
2mm,baseline,0.000364
2mm,noarr,0.000318
2mm,baseline,0.000364
2mm,noarr,0.000312
2mm,baseline,0.000365
2mm,noarr,0.000312
2mm,baseline,0.000365
2mm,noarr,0.000309
2mm,baseline,0.000371
2mm,noarr,0.000312
2mm,baseline,0.000366
2mm,noarr,0.000319
2mm,baseline,0.000365
heat-3d,noarr,0.000565
heat-3d,baseline,0.000445
heat-3d,noarr,0.000575
heat-3d,baseline,0.000449
heat-3d,noarr,0.000576
heat-3d,baseline,0.000441
heat-3d,noarr,0.000574
heat-3d,baseline,0.000447
heat-3d,noarr,0.000574
heat-3d,baseline,0.000448
heat-3d,noarr,0.000575
heat-3d,baseline,0.000446
heat-3d,noarr,0.000573
heat-3d,baseline,0.000452
heat-3d,noarr,0.000575
heat-3d,baseline,0.000441
heat-3d,noarr,0.000571
heat-3d,baseline,0.000454
heat-3d,noarr,0.000570
heat-3d,baseline,0.000442
gemm,noarr,0.000075
gemm,baseline,0.000059
gemm,noarr,0.000077
gemm,baseline,0.000058
gemm,noarr,0.000075
gemm,baseline,0.000058
gemm,noarr,0.000075
gemm,baseline,0.000058
gemm,noarr,0.000077
gemm,baseline,0.000059
gemm,noarr,0.000084
gemm,baseline,0.000058
gemm,noarr,0.000077
gemm,baseline,0.000058
gemm,noarr,0.000077
gemm,baseline,0.000058
gemm,noarr,0.000083
gemm,baseline,0.000059
gemm,noarr,0.000075
gemm,baseline,0.000059
seidel-2d,noarr,0.006655
seidel-2d,baseline,0.006634
seidel-2d,noarr,0.006671
seidel-2d,baseline,0.006660
seidel-2d,noarr,0.006648
seidel-2d,baseline,0.006660
seidel-2d,noarr,0.006678
seidel-2d,baseline,0.006642
seidel-2d,noarr,0.006675
seidel-2d,baseline,0.006639
seidel-2d,noarr,0.006656
seidel-2d,baseline,0.006646
seidel-2d,noarr,0.006676
seidel-2d,baseline,0.006652
seidel-2d,noarr,0.006647
seidel-2d,baseline,0.006651
seidel-2d,noarr,0.006672
seidel-2d,baseline,0.006637
seidel-2d,noarr,0.006664
seidel-2d,baseline,0.006663
lu,noarr,0.000621
lu,baseline,0.000600
