implementation,algorithm,lines,characters,tokens,gzip_size
noarr,correlation,26,1101,389,366
baseline,correlation,29,916,365,302
noarr,covariance,12,612,214,236
baseline,covariance,17,513,209,213
noarr,gemm,4,197,80,141
baseline,gemm,8,219,93,131
noarr,gemver,5,418,174,181
baseline,gemver,12,383,193,146
noarr,gesummv,9,277,105,162
baseline,gesummv,9,251,116,143
noarr,symm,9,442,150,246
baseline,symm,9,299,132,160
noarr,syr2k,6,355,129,197
baseline,syr2k,8,241,111,142
noarr,syrk,5,295,113,181
baseline,syrk,8,209,93,130
noarr,trmm,7,280,90,187
baseline,trmm,6,185,86,125
noarr,2mm,14,415,146,206
baseline,2mm,13,373,156,177
noarr,3mm,15,393,139,170
baseline,3mm,19,553,235,184
noarr,atax,6,268,111,153
baseline,atax,9,250,118,134
noarr,bicg,9,280,110,184
baseline,bicg,9,218,107,135
noarr,doitgen,8,389,129,183
baseline,doitgen,10,317,120,162
noarr,mvt,2,182,73,120
baseline,mvt,6,204,99,107
noarr,cholesky,11,523,198,235
baseline,cholesky,12,289,144,151
noarr,durbin,19,736,285,321
baseline,durbin,18,412,174,210
noarr,gramschmidt,13,620,232,272
baseline,gramschmidt,15,467,216,190
noarr,ludcmp,27,1146,448,326
baseline,ludcmp,28,619,286,209
noarr,lu,9,454,174,205
baseline,lu,13,308,140,131
noarr,trisolv,6,259,109,173
baseline,trisolv,6,136,75,106
noarr,deriche,59,1946,672,507
baseline,deriche,64,1947,702,469
noarr,floyd-warshall,2,170,54,130
baseline,floyd-warshall,5,202,98,113
noarr,nussinov,22,1050,337,343
baseline,nussinov,17,666,263,221
noarr,adi,44,1981,747,475
baseline,adi,46,1581,644,423
noarr,fdtd-2d,10,685,289,274
baseline,fdtd-2d,14,580,265,216
noarr,heat-3d,12,790,323,231
baseline,heat-3d,22,1124,456,235
noarr,jacobi-1d,6,347,143,172
baseline,jacobi-1d,6,219,102,128
noarr,jacobi-2d,10,512,197,196
baseline,jacobi-2d,8,403,202,166
noarr,seidel-2d,6,435,191,182
baseline,seidel-2d,6,340,157,160
